Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,2
2020-03-04,2
2020-03-05,5
2020-03-06,10
2020-03-07,10
2020-03-08,10
2020-03-09,10
2020-03-10,13
2020-03-11,16
2020-03-12,27
2020-03-13,79
2020-03-14,115
2020-03-15,171
2020-03-16,205
2020-03-17,225
2020-03-18,258
2020-03-19,267
2020-03-20,283
2020-03-21,306
2020-03-22,326
2020-03-23,352
2020-03-24,369
2020-03-25,404
2020-03-26,538
2020-03-27,575
2020-03-28,645
2020-03-29,679
2020-03-30,715
2020-03-31,745
2020-04-01,779
2020-04-02,858
2020-04-03,961
2020-04-04,1039
2020-04-05,1097
2020-04-06,1108
2020-04-07,1149
2020-04-08,1185
2020-04-09,1207
2020-04-10,1258
2020-04-11,1304
2020-04-12,1309
2020-04-13,1332
2020-04-14,1373
2020-04-15,1400
2020-04-16,1434
2020-04-17,1459
2020-04-18,1512
2020-04-19,1528
2020-04-20,1535
2020-04-21,1552
2020-04-22,1559
2020-04-23,1592
2020-04-24,1605
2020-04-25,1635
2020-04-26,1643
2020-04-27,1647
2020-04-28,1660
2020-04-29,1666
2020-04-30,1689
2020-05-01,1694
2020-05-02,1699
2020-05-03,1700
2020-05-04,1703
2020-05-05,1711
2020-05-06,1713
2020-05-07,1720
2020-05-08,1725
2020-05-09,1733
2020-05-10,1739
2020-05-11,1741
2020-05-12,1746
2020-05-13,1751
