Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,3
2020-03-14,10
2020-03-15,11
2020-03-16,18
2020-03-17,47
2020-03-18,58
2020-03-19,72
2020-03-20,80
2020-03-21,92
2020-03-22,115
2020-03-23,118
2020-03-24,122
2020-03-25,132
2020-03-26,140
2020-03-27,144
2020-03-28,155
2020-03-29,159
2020-03-30,168
2020-03-31,169
2020-04-01,173
2020-04-02,177
2020-04-03,179
2020-04-04,181
2020-04-05,181
2020-04-06,183
2020-04-07,184
2020-04-08,184
2020-04-09,184
2020-04-10,184
2020-04-11,184
2020-04-12,184
2020-04-13,184
2020-04-14,184
2020-04-15,184
2020-04-16,184
2020-04-17,184
2020-04-18,184
2020-04-19,185
2020-04-20,185
2020-04-21,185
2020-04-22,185
2020-04-23,187
2020-04-24,187
2020-04-25,187
2020-04-26,187
2020-04-27,187
2020-04-28,187
2020-04-29,187
2020-04-30,187
2020-05-01,187
2020-05-02,187
2020-05-03,187
2020-05-04,187
2020-05-05,187
2020-05-06,187
2020-05-07,187
2020-05-08,187
2020-05-09,187
