Date,Total Coronavirus Cases
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,3
2020-02-29,3
2020-03-01,6
2020-03-02,7
2020-03-03,7
2020-03-04,7
2020-03-05,12
2020-03-06,15
2020-03-07,19
2020-03-08,25
2020-03-09,33
2020-03-10,40
2020-03-11,65
2020-03-12,109
2020-03-13,155
2020-03-14,225
2020-03-15,244
2020-03-16,278
2020-03-17,322
2020-03-18,359
2020-03-19,400
2020-03-20,450
2020-03-21,523
2020-03-22,626
2020-03-23,700
2020-03-24,792
2020-03-25,880
2020-03-26,958
2020-03-27,1041
2020-03-28,1167
2020-03-29,1240
2020-03-30,1352
2020-03-31,1418
2020-04-01,1446
2020-04-02,1518
2020-04-03,1615
2020-04-04,1882
2020-04-05,1927
2020-04-06,2176
2020-04-07,2308
2020-04-08,2487
2020-04-09,2605
2020-04-10,2769
2020-04-11,2905
2020-04-12,2974
2020-04-13,3064
2020-04-14,3161
2020-04-15,3237
2020-04-16,3369
2020-04-17,3489
2020-04-18,3681
2020-04-19,3783
2020-04-20,3868
2020-04-21,4014
2020-04-22,4129
2020-04-23,4284
2020-04-24,4395
2020-04-25,4475
2020-04-26,4576
2020-04-27,4695
2020-04-28,4740
2020-04-29,4906
2020-04-30,4995
2020-05-01,5051
2020-05-02,5176
2020-05-03,5254
2020-05-04,5327
2020-05-05,5412
2020-05-06,5573
2020-05-07,5673
2020-05-08,5738
2020-05-09,5880
2020-05-10,5962
2020-05-11,5984
2020-05-12,6003
2020-05-13,6054
2020-05-14,6145
2020-05-15,6228
2020-05-16,6286
2020-05-17,6347
2020-05-18,6380
2020-05-19,6399
2020-05-20,6443
2020-05-21,6493
2020-05-22,6537
