Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,1.0
2020-02-27,0.0
2020-02-28,1.0
2020-02-29,0.0
2020-03-01,3.0
2020-03-02,1.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,5.0
2020-03-06,3.0
2020-03-07,4.0
2020-03-08,6.0
2020-03-09,8.0
2020-03-10,7.0
2020-03-11,25.0
2020-03-12,44.0
2020-03-13,46.0
2020-03-14,70.0
2020-03-15,19.0
2020-03-16,34.0
2020-03-17,44.0
2020-03-18,37.0
2020-03-19,41.0
2020-03-20,50.0
2020-03-21,73.0
2020-03-22,103.0
2020-03-23,74.0
2020-03-24,92.0
2020-03-25,88.0
2020-03-26,78.0
2020-03-27,83.0
2020-03-28,126.0
2020-03-29,73.0
2020-03-30,112.0
2020-03-31,66.0
2020-04-01,28.0
2020-04-02,72.0
2020-04-03,97.0
2020-04-04,267.0
2020-04-05,45.0
2020-04-06,249.0
2020-04-07,132.0
2020-04-08,179.0
2020-04-09,118.0
2020-04-10,164.0
2020-04-11,136.0
2020-04-12,69.0
2020-04-13,90.0
2020-04-14,97.0
2020-04-15,76.0
2020-04-16,132.0
2020-04-17,120.0
2020-04-18,192.0
2020-04-19,102.0
2020-04-20,85.0
2020-04-21,146.0
2020-04-22,115.0
2020-04-23,155.0
2020-04-24,111.0
2020-04-25,80.0
2020-04-26,101.0
2020-04-27,119.0
2020-04-28,45.0
2020-04-29,166.0
2020-04-30,89.0
2020-05-01,56.0
2020-05-02,125.0
2020-05-03,78.0
2020-05-04,73.0
2020-05-05,85.0
2020-05-06,161.0
2020-05-07,100.0
2020-05-08,65.0
2020-05-09,142.0
2020-05-10,82.0
2020-05-11,22.0
2020-05-12,19.0
2020-05-13,51.0
2020-05-14,91.0
2020-05-15,83.0
2020-05-16,58.0
2020-05-17,61.0
2020-05-18,33.0
2020-05-19,19.0
2020-05-20,44.0
2020-05-21,50.0
2020-05-22,44.0
2020-05-23,31.0
2020-05-24,11.0
2020-05-25,20.0
2020-05-26,29.0
2020-05-27,64.0
2020-05-28,51.0
2020-05-29,33.0
2020-05-30,50.0
2020-05-31,33.0
2020-06-01,26.0
2020-06-02,2.0
2020-06-03,24.0
2020-06-04,0.0
2020-06-05,30.0
2020-06-06,23.0
2020-06-07,17.0
2020-06-08,20.0
2020-06-09,24.0
2020-06-10,15.0
2020-06-11,24.0
2020-06-12,9.0
2020-06-13,14.0
2020-06-14,17.0
2020-06-15,4.0
2020-06-16,4.0
2020-06-17,5.0
2020-06-18,2.0
2020-06-19,14.0
2020-06-20,9.0
2020-06-21,1.0
