Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,1
2020-02-18,2
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,3
2020-02-23,0
2020-02-24,1
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,590
2020-03-18,0
2020-03-19,693
2020-03-20,292
2020-03-21,0
2020-03-22,613
2020-03-23,0
2020-03-24,1081
2020-03-25,619
2020-03-26,1048
2020-03-27,752
2020-03-28,0
2020-03-29,1502
2020-03-30,725
2020-03-31,1517
2020-04-01,1491
2020-04-02,1493
2020-04-03,1580
2020-04-04,1430
2020-04-05,745
2020-04-06,1067
2020-04-07,2087
2020-04-08,1917
2020-04-09,1952
2020-04-10,1726
2020-04-11,1459
2020-04-12,795
2020-04-13,532
2020-04-14,1087
2020-04-15,2150
2020-04-16,1857
2020-04-17,1608
2020-04-18,1563
2020-04-19,595
2020-04-20,831
2020-04-21,1772
2020-04-22,1476
2020-04-23,1431
2020-04-24,1405
2020-04-25,1101
2020-04-26,309
