Date,Total Coronavirus Currently Infected
2020-02-15,7
2020-02-16,7
2020-02-17,6
2020-02-18,4
2020-02-19,4
2020-02-20,4
2020-02-21,4
2020-02-22,1
2020-02-23,1
2020-02-24,0
2020-02-25,2
2020-02-26,5
2020-02-27,25
2020-02-28,44
2020-02-29,86
2020-03-01,116
2020-03-02,176
2020-03-03,196
2020-03-04,269
2020-03-05,404
2020-03-06,632
2020-03-07,921
2020-03-08,1178
2020-03-09,1370
2020-03-10,1739
2020-03-11,2221
2020-03-12,2803
2020-03-13,3570
2020-03-14,4396
2020-03-15,5284
2020-03-16,6473
2020-03-17,6953
2020-03-18,8268
2020-03-19,9328
2020-03-20,10575
2020-03-21,12310
2020-03-22,13144
2020-03-23,16796
2020-03-24,17923
2020-03-25,20002
2020-03-26,22511
2020-03-27,25269
2020-03-28,29561
2020-03-29,30366
2020-03-30,33599
2020-03-31,39161
2020-04-01,42022
2020-04-02,41290
2020-04-03,55945
2020-04-04,60021
2020-04-05,63458
2020-04-06,64291
2020-04-07,69515
2020-04-08,70938
2020-04-09,72280
2020-04-10,75798
2020-04-11,77955
2020-04-12,79054
2020-04-13,81613
2020-04-14,85719
2020-04-15,85522
2020-04-16,90040
2020-04-17,90015
2020-04-18,91476
2020-04-19,91548
2020-04-20,92604
2020-04-21,93554
2020-04-22,93947
2020-04-23,94239
2020-04-24,94090
2020-04-25,94280
2020-04-26,94341
