Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,5
2020-03-08,5
2020-03-09,5
2020-03-10,5
2020-03-11,6
2020-03-12,6
2020-03-13,6
2020-03-14,7
2020-03-15,7
2020-03-16,11
2020-03-17,15
2020-03-18,15
2020-03-19,15
2020-03-20,15
2020-03-21,18
2020-03-22,18
2020-03-23,20
2020-03-24,23
2020-03-25,28
2020-03-26,28
2020-03-27,28
2020-03-28,28
2020-03-29,43
2020-03-30,43
2020-03-31,51
2020-04-01,51
2020-04-02,51
2020-04-03,57
2020-04-04,61
2020-04-05,68
2020-04-06,72
2020-04-07,77
2020-04-08,83
2020-04-09,83
2020-04-10,83
2020-04-11,86
2020-04-12,86
2020-04-13,86
2020-04-14,86
2020-04-15,86
2020-04-16,86
2020-04-17,96
2020-04-18,96
2020-04-19,96
2020-04-20,97
2020-04-21,97
2020-04-22,107
2020-04-23,107
2020-04-24,111
2020-04-25,111
2020-04-26,111
2020-04-27,111
2020-04-28,125
2020-04-29,125
2020-04-30,126
2020-05-01,128
2020-05-02,128
2020-05-03,128
2020-05-04,133
2020-05-05,133
2020-05-06,138
2020-05-07,138
2020-05-08,141
2020-05-09,141
2020-05-10,144
2020-05-11,144
2020-05-12,144
2020-05-13,153
