Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,3
2020-03-01,3
2020-03-02,3
2020-03-03,3
2020-03-04,3
2020-03-05,9
2020-03-06,9
2020-03-07,13
2020-03-08,13
2020-03-09,15
2020-03-10,23
2020-03-11,24
2020-03-12,25
2020-03-13,25
2020-03-14,30
2020-03-15,33
2020-03-16,33
2020-03-17,34
2020-03-18,38
2020-03-19,40
2020-03-20,44
2020-03-21,49
2020-03-22,54
2020-03-23,61
2020-03-24,70
2020-03-25,75
2020-03-26,79
2020-03-27,83
2020-03-28,90
2020-03-29,91
2020-03-30,103
2020-03-31,110
2020-04-01,117
2020-04-02,134
2020-04-03,155
2020-04-04,162
2020-04-05,174
2020-04-06,188
2020-04-07,196
2020-04-08,211
2020-04-09,218
2020-04-10,234
2020-04-11,242
2020-04-12,257
2020-04-13,272
2020-04-14,300
2020-04-15,306
2020-04-16,348
2020-04-17,370
2020-04-18,388
2020-04-19,394
2020-04-20,402
2020-04-21,408
2020-04-22,416
2020-04-23,425
2020-04-24,444
2020-04-25,456
2020-04-26,486
