Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,4.0
2020-02-18,2.0
2020-02-19,0.0
2020-02-20,4.0
2020-02-21,1.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,1.0
2020-02-26,0.0
2020-02-27,1.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,7.0
2020-03-12,0.0
2020-03-13,21.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,21.0
2020-03-17,0.0
2020-03-18,38.0
2020-03-19,10.0
2020-03-20,65.0
2020-03-21,29.0
2020-03-22,57.0
2020-03-23,187.0
2020-03-24,2837.0
2020-03-25,257.0
2020-03-26,2126.0
2020-03-27,985.0
2020-03-28,1823.0
2020-03-29,730.0
2020-03-30,4289.0
2020-03-31,2600.0
2020-04-01,2600.0
2020-04-02,3740.0
2020-04-03,2135.0
2020-04-04,1825.0
2020-04-05,2300.0
2020-04-06,0.0
2020-04-07,7381.0
2020-04-08,10219.0
2020-04-09,6107.0
2020-04-10,1506.0
2020-04-11,3487.0
2020-04-12,2900.0
2020-04-13,4000.0
2020-04-14,3900.0
2020-04-15,4400.0
2020-04-16,4400.0
2020-04-17,6114.0
2020-04-18,2286.0
2020-04-19,2600.0
2020-04-20,3500.0
2020-04-21,3700.0
2020-04-22,4200.0
2020-04-23,3900.0
2020-04-24,3500.0
2020-04-25,3000.0
2020-04-26,2200.0
2020-04-27,2500.0
2020-04-28,2900.0
2020-04-29,3000.0
2020-04-30,3100.0
2020-05-01,3400.0
2020-05-02,2100.0
2020-05-03,1600.0
2020-05-04,2100.0
2020-05-05,2400.0
2020-05-06,2596.0
2020-05-07,2204.0
2020-05-08,1800.0
2020-05-09,1600.0
