Date,Total Coronavirus Cases
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,18
2020-02-26,26
2020-02-27,48
2020-02-28,74
2020-02-29,79
2020-03-01,130
2020-03-02,165
2020-03-03,203
2020-03-04,262
2020-03-05,545
2020-03-06,670
2020-03-07,800
2020-03-08,1040
2020-03-09,1224
2020-03-10,1565
2020-03-11,1966
2020-03-12,2745
2020-03-13,3675
2020-03-14,4599
2020-03-15,5813
2020-03-16,7272
2020-03-17,9367
2020-03-18,12327
2020-03-19,15320
2020-03-20,19848
2020-03-21,22364
2020-03-22,24873
2020-03-23,29056
2020-03-24,32991
2020-03-25,37323
2020-03-26,43938
2020-03-27,50871
2020-03-28,57695
2020-03-29,62435
2020-03-30,66885
2020-03-31,71808
2020-04-01,77981
2020-04-02,84794
2020-04-03,91159
2020-04-04,96092
2020-04-05,100123
2020-04-06,103375
2020-04-07,107663
2020-04-08,113296
2020-04-09,118235
2020-04-10,122171
2020-04-11,125452
2020-04-12,127854
2020-04-13,130072
2020-04-14,132210
2020-04-15,134753
2020-04-16,137698
2020-04-17,141397
2020-04-18,143724
2020-04-19,145742
2020-04-20,147065
2020-04-21,148453
2020-04-22,150648
2020-04-23,153129
2020-04-24,154999
2020-04-25,156513
2020-04-26,157770
2020-04-27,158758
2020-04-28,159912
2020-04-29,161539
2020-04-30,163009
2020-05-01,164077
2020-05-02,164967
2020-05-03,165664
2020-05-04,166152
2020-05-05,167007
2020-05-06,168162
2020-05-07,169430
2020-05-08,170588
2020-05-09,171324
2020-05-10,171879
2020-05-11,172576
2020-05-12,173171
2020-05-13,174098
2020-05-14,174975
2020-05-15,175699
2020-05-16,176244
2020-05-17,176651
2020-05-18,177289
2020-05-19,177827
2020-05-20,178531
2020-05-21,179021
2020-05-22,179713
