Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,2.0
2020-03-10,0.0
2020-03-11,1.0
2020-03-12,3.0
2020-03-13,2.0
2020-03-14,1.0
2020-03-15,4.0
2020-03-16,4.0
2020-03-17,9.0
2020-03-18,2.0
2020-03-19,16.0
2020-03-20,24.0
2020-03-21,16.0
2020-03-22,10.0
2020-03-23,29.0
2020-03-24,36.0
2020-03-25,47.0
2020-03-26,61.0
2020-03-27,84.0
2020-03-28,82.0
2020-03-29,108.0
2020-03-30,104.0
2020-03-31,130.0
2020-04-01,156.0
2020-04-02,176.0
2020-04-03,168.0
2020-04-04,169.0
2020-04-05,140.0
2020-04-06,226.0
2020-04-07,206.0
2020-04-08,333.0
2020-04-09,258.0
2020-04-10,129.0
2020-04-11,135.0
2020-04-12,151.0
2020-04-13,172.0
2020-04-14,301.0
2020-04-15,309.0
2020-04-16,248.0
2020-04-17,300.0
2020-04-18,186.0
2020-04-19,104.0
2020-04-20,220.0
2020-04-21,224.0
2020-04-22,229.0
2020-04-23,260.0
2020-04-24,185.0
2020-04-25,117.0
2020-04-26,99.0
2020-04-27,150.0
2020-04-28,188.0
2020-04-29,153.0
2020-04-30,156.0
2020-05-01,113.0
2020-05-02,76.0
2020-05-03,54.0
2020-05-04,127.0
2020-05-05,0.0
2020-05-06,282.0
2020-05-07,117.0
2020-05-08,118.0
2020-05-09,39.0
