Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-25,4
2020-03-26,4
2020-03-27,4
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,5
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,6
2020-04-09,6
2020-04-10,6
2020-04-11,8
2020-04-12,8
2020-04-13,8
2020-04-14,8
2020-04-15,8
2020-04-16,8
2020-04-17,8
2020-04-18,9
2020-04-19,9
2020-04-20,9
2020-04-21,9
2020-04-22,9
2020-04-23,9
2020-04-24,10
2020-04-25,10
2020-04-26,11
2020-04-27,11
2020-04-28,16
2020-04-29,16
2020-04-30,17
2020-05-01,17
2020-05-02,18
2020-05-03,18
2020-05-04,18
2020-05-05,18
2020-05-06,18
2020-05-07,18
2020-05-08,18
2020-05-09,22
2020-05-10,22
2020-05-11,22
2020-05-12,22
2020-05-13,24
2020-05-14,24
2020-05-15,28
2020-05-16,29
2020-05-17,29
2020-05-18,29
2020-05-19,31
2020-05-20,31
2020-05-21,31
2020-05-22,31
2020-05-23,31
2020-05-24,32
2020-05-25,32
2020-05-26,34
2020-05-27,34
2020-05-28,34
2020-05-29,34
2020-05-30,35
2020-05-31,36
2020-06-01,36
2020-06-02,38
2020-06-03,38
2020-06-04,38
2020-06-05,42
2020-06-06,44
2020-06-07,44
2020-06-08,48
2020-06-09,48
2020-06-10,48
2020-06-11,48
2020-06-12,48
2020-06-13,48
2020-06-14,54
2020-06-15,54
2020-06-16,58
2020-06-17,66
2020-06-18,66
2020-06-19,70
2020-06-20,85
2020-06-21,85
2020-06-22,85
2020-06-23,95
2020-06-24,95
2020-06-25,95
2020-06-26,103
2020-06-27,103
