Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,2
2020-03-17,1
2020-03-18,6
2020-03-19,8
2020-03-20,8
2020-03-21,8
2020-03-22,13
2020-03-23,10
2020-03-24,10
2020-03-25,21
2020-03-26,22
2020-03-27,41
2020-03-28,42
2020-03-29,51
2020-03-30,35
2020-03-31,35
2020-04-01,47
2020-04-02,42
2020-04-03,49
2020-04-04,46
2020-04-05,51
2020-04-06,57
2020-04-07,53
2020-04-08,60
2020-04-09,63
2020-04-10,58
2020-04-11,45
2020-04-12,45
2020-04-13,36
2020-04-14,36
2020-04-15,27
2020-04-16,27
2020-04-17,27
2020-04-18,21
2020-04-19,12
2020-04-20,12
2020-04-21,12
2020-04-22,5
2020-04-23,4
2020-04-24,2
2020-04-25,5
2020-04-26,10
2020-04-27,10
2020-04-28,10
2020-04-29,10
2020-04-30,13
2020-05-01,13
2020-05-02,12
2020-05-03,12
2020-05-04,11
2020-05-05,11
2020-05-06,8
2020-05-07,3
2020-05-08,4
2020-05-09,4
2020-05-10,3
2020-05-11,4
2020-05-12,3
2020-05-13,3
2020-05-14,3
2020-05-15,3
2020-05-16,2
2020-05-17,2
2020-05-18,2
2020-05-19,2
2020-05-20,4
2020-05-21,5
2020-05-22,4
2020-05-23,5
2020-05-24,7
2020-05-25,7
2020-05-26,7
2020-05-27,10
2020-05-28,11
2020-05-29,13
2020-05-30,20
2020-05-31,21
2020-06-01,19
2020-06-02,21
2020-06-03,20
2020-06-04,20
2020-06-05,21
2020-06-06,20
2020-06-07,12
2020-06-08,11
2020-06-09,11
2020-06-10,7
2020-06-11,5
2020-06-12,4
2020-06-13,3
2020-06-14,3
2020-06-15,2
2020-06-16,2
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,1
