Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,3
2020-02-28,4
2020-02-29,7
2020-03-01,7
2020-03-02,7
2020-03-03,7
2020-03-04,9
2020-03-05,31
2020-03-06,45
2020-03-07,66
2020-03-08,73
2020-03-09,84
2020-03-10,89
2020-03-11,99
2020-03-12,117
2020-03-13,190
2020-03-14,228
2020-03-15,331
2020-03-16,352
2020-03-17,387
2020-03-18,418
2020-03-19,464
2020-03-20,495
2020-03-21,530
2020-03-22,624
2020-03-23,695
2020-03-24,743
2020-03-25,821
2020-03-26,892
2020-03-27,966
2020-03-28,1061
2020-03-29,1156
2020-03-30,1212
2020-03-31,1314
2020-04-01,1415
2020-04-02,1544
2020-04-03,1613
2020-04-04,1673
2020-04-05,1735
2020-04-06,1755
2020-04-07,1832
2020-04-08,1884
2020-04-09,1955
2020-04-10,2011
2020-04-11,2081
2020-04-12,2114
2020-04-13,2145
2020-04-14,2170
2020-04-15,2192
2020-04-16,2207
2020-04-17,2224
2020-04-18,2235
2020-04-19,2235
2020-04-20,2245
2020-04-21,2401
2020-04-22,2408
2020-04-23,2463
2020-04-24,2490
2020-04-25,2506
2020-04-26,2517
2020-04-27,2534
2020-04-28,2566
2020-04-29,2576
2020-04-30,2591
2020-05-01,2612
2020-05-02,2620
2020-05-03,2626
2020-05-04,2632
2020-05-05,2642
2020-05-06,2663
2020-05-07,2678
2020-05-08,2691
2020-05-09,2710
2020-05-10,2716
2020-05-11,2726
2020-05-12,2744
2020-05-13,2760
2020-05-14,2770
2020-05-15,2810
2020-05-16,2819
2020-05-17,2834
2020-05-18,2836
2020-05-19,2840
2020-05-20,2850
2020-05-21,2853
2020-05-22,2874
2020-05-23,2876
2020-05-24,2878
2020-05-25,2882
2020-05-26,2892
2020-05-27,2903
2020-05-28,2906
2020-05-29,2909
2020-05-30,2915
2020-05-31,2917
2020-06-01,2918
2020-06-02,2937
2020-06-03,2937
2020-06-04,2952
2020-06-05,2967
2020-06-06,2980
2020-06-07,2997
2020-06-08,3049
2020-06-09,3058
2020-06-10,3068
2020-06-11,3088
2020-06-12,3108
2020-06-13,3112
2020-06-14,3121
2020-06-15,3134
2020-06-16,3148
2020-06-17,3203
2020-06-18,3227
2020-06-19,3237
2020-06-20,3256
2020-06-21,3266
2020-06-22,3287
2020-06-23,3302
2020-06-24,3310
2020-06-25,3321
2020-06-26,3343
2020-06-27,3366
