Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,2.0
2020-02-28,1.0
2020-02-29,3.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,2.0
2020-03-05,22.0
2020-03-06,14.0
2020-03-07,21.0
2020-03-08,7.0
2020-03-09,11.0
2020-03-10,5.0
2020-03-11,10.0
2020-03-12,18.0
2020-03-13,73.0
2020-03-14,38.0
2020-03-15,103.0
2020-03-16,21.0
2020-03-17,35.0
2020-03-18,31.0
2020-03-19,46.0
2020-03-20,31.0
2020-03-21,35.0
2020-03-22,94.0
2020-03-23,71.0
2020-03-24,48.0
2020-03-25,78.0
2020-03-26,71.0
2020-03-27,74.0
2020-03-28,95.0
2020-03-29,95.0
2020-03-30,56.0
2020-03-31,102.0
2020-04-01,101.0
2020-04-02,129.0
2020-04-03,69.0
2020-04-04,60.0
2020-04-05,62.0
2020-04-06,20.0
2020-04-07,77.0
2020-04-08,52.0
2020-04-09,71.0
2020-04-10,56.0
2020-04-11,70.0
2020-04-12,33.0
2020-04-13,31.0
2020-04-14,25.0
2020-04-15,22.0
2020-04-16,15.0
2020-04-17,17.0
2020-04-18,11.0
2020-04-19,0.0
2020-04-20,10.0
2020-04-21,156.0
2020-04-22,7.0
2020-04-23,55.0
2020-04-24,27.0
2020-04-25,16.0
2020-04-26,11.0
2020-04-27,17.0
2020-04-28,32.0
2020-04-29,10.0
2020-04-30,15.0
2020-05-01,21.0
2020-05-02,8.0
2020-05-03,6.0
2020-05-04,6.0
2020-05-05,10.0
2020-05-06,21.0
2020-05-07,15.0
2020-05-08,13.0
2020-05-09,19.0
2020-05-10,6.0
2020-05-11,10.0
2020-05-12,18.0
2020-05-13,16.0
2020-05-14,10.0
2020-05-15,40.0
2020-05-16,9.0
2020-05-17,15.0
2020-05-18,2.0
2020-05-19,4.0
2020-05-20,10.0
2020-05-21,3.0
2020-05-22,21.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,4.0
2020-05-26,10.0
2020-05-27,11.0
2020-05-28,3.0
2020-05-29,3.0
2020-05-30,6.0
2020-05-31,2.0
2020-06-01,1.0
2020-06-02,19.0
2020-06-03,0.0
2020-06-04,15.0
2020-06-05,15.0
2020-06-06,13.0
2020-06-07,17.0
2020-06-08,52.0
2020-06-09,9.0
2020-06-10,10.0
2020-06-11,20.0
2020-06-12,20.0
2020-06-13,4.0
2020-06-14,9.0
2020-06-15,13.0
2020-06-16,14.0
2020-06-17,55.0
2020-06-18,24.0
2020-06-19,10.0
2020-06-20,19.0
2020-06-21,10.0
