Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,1
2020-03-17,1
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,4
2020-03-23,4
2020-03-24,5
2020-03-25,6
2020-03-26,6
2020-03-27,10
2020-03-28,10
2020-03-29,10
2020-03-30,10
2020-03-31,10
2020-04-01,10
2020-04-02,10
2020-04-03,10
2020-04-04,11
2020-04-05,11
2020-04-06,11
2020-04-07,11
2020-04-08,11
2020-04-09,11
2020-04-10,11
2020-04-11,11
2020-04-12,11
2020-04-13,11
2020-04-14,11
2020-04-15,11
2020-04-16,11
2020-04-17,11
2020-04-18,11
2020-04-19,11
2020-04-20,11
2020-04-21,11
2020-04-22,11
2020-04-23,11
2020-04-24,11
2020-04-25,11
2020-04-26,11
2020-04-27,11
2020-04-28,11
2020-04-29,11
2020-04-30,11
2020-05-01,11
2020-05-02,11
2020-05-03,11
2020-05-04,11
2020-05-05,11
2020-05-06,11
2020-05-07,11
2020-05-08,11
2020-05-09,11
2020-05-10,11
2020-05-11,11
2020-05-12,11
2020-05-13,11
2020-05-14,11
2020-05-15,11
2020-05-16,11
2020-05-17,11
2020-05-18,11
2020-05-19,11
2020-05-20,11
2020-05-21,11
2020-05-22,11
