Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,7.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,1.0
2020-03-20,3.0
2020-03-21,5.0
2020-03-22,2.0
2020-03-23,1.0
2020-03-24,1.0
2020-03-25,3.0
2020-03-26,1.0
2020-03-27,3.0
2020-03-28,6.0
2020-03-29,0.0
2020-03-30,2.0
2020-03-31,2.0
2020-04-01,1.0
2020-04-02,8.0
2020-04-03,3.0
2020-04-04,11.0
2020-04-05,9.0
2020-04-06,0.0
2020-04-07,7.0
2020-04-08,10.0
2020-04-09,8.0
2020-04-10,31.0
2020-04-11,11.0
2020-04-12,18.0
2020-04-13,1.0
2020-04-14,11.0
2020-04-15,13.0
2020-04-16,16.0
2020-04-17,18.0
2020-04-18,21.0
2020-04-19,22.0
2020-04-20,32.0
2020-04-21,5.0
2020-04-22,22.0
2020-04-23,26.0
2020-04-24,42.0
2020-04-25,46.0
2020-04-26,43.0
2020-04-27,27.0
2020-04-28,30.0
2020-04-29,27.0
2020-04-30,28.0
2020-05-01,14.0
2020-05-02,45.0
2020-05-03,44.0
2020-05-04,15.0
2020-05-05,27.0
2020-05-06,33.0
2020-05-07,35.0
2020-05-08,34.0
2020-05-09,68.0
2020-05-10,67.0
2020-05-11,85.0
2020-05-12,62.0
2020-05-13,85.0
2020-05-14,143.0
2020-05-15,176.0
2020-05-16,125.0
2020-05-17,120.0
2020-05-18,149.0
2020-05-19,89.0
2020-05-20,132.0
2020-05-21,132.0
2020-05-22,247.0
2020-05-23,231.0
2020-05-24,311.0
2020-05-25,370.0
2020-05-26,336.0
2020-05-27,194.0
2020-05-28,191.0
2020-05-29,203.0
2020-05-30,259.0
2020-05-31,132.0
2020-06-01,348.0
2020-06-02,249.0
2020-06-03,250.0
2020-06-04,174.0
2020-06-05,394.0
2020-06-06,331.0
2020-06-07,307.0
2020-06-08,263.0
2020-06-09,447.0
2020-06-10,364.0
2020-06-11,355.0
2020-06-12,340.0
2020-06-13,421.0
2020-06-14,509.0
2020-06-15,354.0
2020-06-16,427.0
2020-06-17,434.0
2020-06-18,545.0
2020-06-19,617.0
2020-06-20,641.0
2020-06-21,246.0
