Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,8
2020-03-28,8
2020-03-29,16
2020-03-30,22
2020-03-31,22
2020-04-01,30
2020-04-02,52
2020-04-03,73
2020-04-04,111
2020-04-05,121
2020-04-06,128
2020-04-07,144
2020-04-08,164
2020-04-09,194
2020-04-10,212
2020-04-11,250
2020-04-12,250
2020-04-13,319
2020-04-14,363
2020-04-15,404
2020-04-16,438
2020-04-17,477
2020-04-18,518
2020-04-19,579
2020-04-20,622
2020-04-21,688
2020-04-22,761
2020-04-23,862
2020-04-24,954
2020-04-25,996
2020-04-26,996
2020-04-27,1163
2020-04-28,1240
2020-04-29,1351
2020-04-30,1495
2020-05-01,1537
2020-05-02,1586
2020-05-03,1586
2020-05-04,1710
2020-05-05,1811
2020-05-06,1856
2020-05-07,1927
2020-05-08,2009
2020-05-09,2042
