Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,8
2020-03-28,8
2020-03-29,16
2020-03-30,22
2020-03-31,22
2020-04-01,30
2020-04-02,52
2020-04-03,71
2020-04-04,106
2020-04-05,116
2020-04-06,123
2020-04-07,139
2020-04-08,159
2020-04-09,183
2020-04-10,197
2020-04-11,233
2020-04-12,233
2020-04-13,302
2020-04-14,332
2020-04-15,372
2020-04-16,388
2020-04-17,415
2020-04-18,450
2020-04-19,487
2020-04-20,495
2020-04-21,555
2020-04-22,591
2020-04-23,686
2020-04-24,757
2020-04-25,781
2020-04-26,781
