Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,4
2020-03-16,7
2020-03-17,7
2020-03-18,4
2020-03-19,5
2020-03-20,15
2020-03-21,18
2020-03-22,19
2020-03-23,20
2020-03-24,5
2020-03-25,5
2020-03-26,5
2020-03-27,5
2020-03-28,8
2020-03-29,8
2020-03-30,8
2020-03-31,12
2020-04-01,19
2020-04-02,19
2020-04-03,23
2020-04-04,23
2020-04-05,24
2020-04-06,31
2020-04-07,33
2020-04-08,37
2020-04-09,37
2020-04-10,37
2020-04-11,45
2020-04-12,45
2020-04-13,47
2020-04-14,47
2020-04-15,55
2020-04-16,55
2020-04-17,63
2020-04-18,63
2020-04-19,65
2020-04-20,65
2020-04-21,66
2020-04-22,67
2020-04-23,70
2020-04-24,73
2020-04-25,73
2020-04-26,74
2020-04-27,74
2020-04-28,74
2020-04-29,74
2020-04-30,82
2020-05-01,82
2020-05-02,82
2020-05-03,82
2020-05-04,92
2020-05-05,92
2020-05-06,93
2020-05-07,93
2020-05-08,94
2020-05-09,94
