Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,3.0
2020-03-17,2.0
2020-03-18,1.0
2020-03-19,3.0
2020-03-20,12.0
2020-03-21,0.0
2020-03-22,2.0
2020-03-23,4.0
2020-03-24,0.0
2020-03-25,22.0
2020-03-26,15.0
2020-03-27,1.0
2020-03-28,27.0
2020-03-29,15.0
2020-03-30,29.0
2020-03-31,2.0
2020-04-01,31.0
2020-04-02,47.0
2020-04-03,3.0
2020-04-04,42.0
2020-04-05,4.0
2020-04-06,30.0
2020-04-07,7.0
2020-04-08,7.0
2020-04-09,31.0
2020-04-10,39.0
2020-04-11,10.0
2020-04-12,1.0
2020-04-13,4.0
2020-04-14,10.0
2020-04-15,12.0
2020-04-16,7.0
2020-04-17,16.0
2020-04-18,15.0
2020-04-19,15.0
2020-04-20,5.0
2020-04-21,17.0
2020-04-22,16.0
2020-04-23,9.0
2020-04-24,43.0
2020-04-25,29.0
2020-04-26,36.0
2020-04-27,34.0
2020-04-28,41.0
2020-04-29,36.0
2020-04-30,33.0
2020-05-01,33.0
2020-05-02,95.0
2020-05-03,111.0
2020-05-04,45.0
2020-05-05,123.0
2020-05-06,92.0
2020-05-07,191.0
2020-05-08,224.0
2020-05-09,86.0
2020-05-10,59.0
2020-05-11,142.0
2020-05-12,108.0
2020-05-13,0.0
2020-05-14,175.0
2020-05-15,63.0
2020-05-16,142.0
2020-05-17,105.0
2020-05-18,81.0
2020-05-19,152.0
2020-05-20,157.0
2020-05-21,145.0
2020-05-22,104.0
