Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,1
2020-02-24,2
2020-02-25,22
2020-02-26,0
2020-02-27,29
2020-02-28,19
2020-02-29,50
2020-03-01,52
2020-03-02,116
2020-03-03,144
2020-03-04,117
2020-03-05,187
2020-03-06,174
2020-03-07,756
2020-03-08,465
2020-03-09,260
2020-03-10,337
2020-03-11,228
2020-03-12,317
2020-03-13,253
2020-03-14,810
2020-03-15,251
2020-03-16,406
2020-03-17,393
2020-03-18,321
2020-03-19,269
2020-03-20,766
2020-03-21,890
2020-03-22,278
2020-03-23,463
2020-03-24,537
2020-03-25,712
2020-03-26,832
2020-03-27,676
2020-03-28,546
2020-03-29,712
2020-03-30,1520
2020-03-31,745
2020-04-01,817
2020-04-02,1238
2020-04-03,1224
2020-04-04,1801
2020-04-05,2275
2020-04-06,2225
2020-04-07,2803
2020-04-08,2773
2020-04-09,2497
2020-04-10,3156
2020-04-11,6482
2020-04-12,1947
2020-04-13,2089
2020-04-14,2146
2020-04-15,1804
2020-04-16,2296
2020-04-17,1835
2020-04-18,1923
2020-04-19,1036
2020-04-20,2250
2020-04-21,1692
2020-04-22,2148
2020-04-23,1730
2020-04-24,1756
2020-04-25,1594
2020-04-26,1464
