Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,18
2020-02-22,29
2020-02-23,43
2020-02-24,61
2020-02-25,95
2020-02-26,139
2020-02-27,245
2020-02-28,388
2020-02-29,593
2020-03-01,978
2020-03-02,1501
2020-03-03,2336
2020-03-04,2922
2020-03-05,3513
2020-03-06,4747
2020-03-07,5823
2020-03-08,6566
2020-03-09,7161
2020-03-10,8042
2020-03-11,9000
2020-03-12,10075
2020-03-13,11364
2020-03-14,12729
2020-03-15,13938
2020-03-16,14991
2020-03-17,16169
2020-03-18,17361
2020-03-19,18407
2020-03-20,19644
2020-03-21,20610
2020-03-22,21638
2020-03-23,23049
2020-03-24,24811
2020-03-25,27017
2020-03-26,29406
2020-03-27,32332
2020-03-28,35408
2020-03-29,38309
2020-03-30,41495
2020-03-31,44605
2020-04-01,47593
2020-04-02,50468
2020-04-03,53183
2020-04-04,55743
2020-04-05,58226
2020-04-06,60500
2020-04-07,62589
2020-04-08,64586
2020-04-09,66220
2020-04-10,68192
2020-04-11,70029
2020-04-12,71686
2020-04-13,73303
2020-04-14,74877
2020-04-15,76389
2020-04-16,77995
2020-04-17,79494
2020-04-18,80868
2020-04-19,82211
2020-04-20,83505
2020-04-21,84802
2020-04-22,85996
2020-04-23,87026
2020-04-24,88194
2020-04-25,89328
2020-04-26,90481
