Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,2
2020-02-21,4
2020-02-22,6
2020-02-23,8
2020-02-24,12
2020-02-25,16
2020-02-26,19
2020-02-27,26
2020-02-28,34
2020-02-29,43
2020-03-01,54
2020-03-02,66
2020-03-03,77
2020-03-04,92
2020-03-05,108
2020-03-06,124
2020-03-07,145
2020-03-08,194
2020-03-09,237
2020-03-10,291
2020-03-11,354
2020-03-12,429
2020-03-13,514
2020-03-14,611
2020-03-15,724
2020-03-16,853
2020-03-17,988
2020-03-18,1135
2020-03-19,1284
2020-03-20,1433
2020-03-21,1556
2020-03-22,1685
2020-03-23,1812
2020-03-24,1934
2020-03-25,2077
2020-03-26,2234
2020-03-27,2378
2020-03-28,2517
2020-03-29,2640
2020-03-30,2757
2020-03-31,2898
2020-04-01,3036
2020-04-02,3160
2020-04-03,3294
2020-04-04,3452
2020-04-05,3603
2020-04-06,3739
2020-04-07,3872
2020-04-08,3993
2020-04-09,4110
2020-04-10,4232
2020-04-11,4357
2020-04-12,4474
2020-04-13,4585
2020-04-14,4683
2020-04-15,4777
2020-04-16,4869
2020-04-17,4958
2020-04-18,5031
2020-04-19,5118
2020-04-20,5209
2020-04-21,5297
2020-04-22,5391
2020-04-23,5481
2020-04-24,5574
2020-04-25,5650
2020-04-26,5710
2020-04-27,5806
2020-04-28,5877
2020-04-29,5957
2020-04-30,6028
2020-05-01,6091
2020-05-02,6156
2020-05-03,6203
2020-05-04,6277
2020-05-05,6340
2020-05-06,6418
2020-05-07,6486
2020-05-08,6541
2020-05-09,6589
2020-05-10,6640
2020-05-11,6685
2020-05-12,6733
2020-05-13,6783
2020-05-14,6854
2020-05-15,6902
2020-05-16,6937
2020-05-17,6988
2020-05-18,7057
2020-05-19,7119
2020-05-20,7183
2020-05-21,7249
2020-05-22,7300
