Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,2.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-07,0.0
2020-03-08,2.0
2020-03-09,1.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-14,1.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,4.0
2020-03-21,0.0
2020-03-22,3.0
2020-03-23,3.0
2020-03-24,4.0
2020-03-25,2.0
2020-03-26,7.0
2020-03-27,4.0
2020-03-28,2.0
2020-03-29,0.0
2020-03-30,4.0
2020-03-31,4.0
2020-04-01,2.0
2020-04-02,2.0
2020-04-03,0.0
2020-04-04,2.0
2020-04-05,5.0
2020-04-06,3.0
2020-04-07,1.0
2020-04-08,4.0
2020-04-09,0.0
2020-04-10,1.0
2020-04-11,2.0
2020-04-12,4.0
2020-04-13,2.0
2020-04-14,0.0
2020-04-15,1.0
2020-04-16,1.0
2020-04-17,1.0
2020-04-18,1.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,1.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,3.0
2020-04-25,0.0
2020-04-26,1.0
2020-04-27,1.0
2020-04-28,2.0
2020-04-29,2.0
2020-04-30,1.0
2020-05-01,1.0
2020-05-02,1.0
2020-05-03,2.0
2020-05-04,1.0
2020-05-05,4.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,2.0
2020-05-09,3.0
2020-05-10,2.0
2020-05-11,1.0
2020-05-12,2.0
2020-05-13,3.0
2020-05-14,0.0
2020-05-15,2.0
2020-05-16,4.0
2020-05-17,2.0
2020-05-18,4.0
2020-05-19,4.0
2020-05-20,3.0
2020-05-21,6.0
2020-05-22,7.0
2020-05-23,5.0
2020-05-24,8.0
2020-05-25,3.0
2020-05-26,6.0
2020-05-27,6.0
2020-05-28,4.0
2020-05-29,6.0
2020-05-30,10.0
2020-05-31,10.0
2020-06-01,10.0
2020-06-02,20.0
2020-06-03,21.0
2020-06-04,15.0
2020-06-05,14.0
2020-06-06,33.0
2020-06-07,28.0
2020-06-08,24.0
2020-06-09,22.0
2020-06-10,34.0
2020-06-11,31.0
2020-06-12,39.0
2020-06-13,53.0
2020-06-14,58.0
2020-06-15,45.0
2020-06-16,60.0
2020-06-17,61.0
2020-06-18,83.0
2020-06-19,69.0
2020-06-20,88.0
2020-06-21,87.0
