Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,1
2020-03-08,0
2020-03-09,1
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,7
2020-03-18,0
2020-03-19,3
2020-03-20,1
2020-03-21,21
2020-03-22,1
2020-03-23,4
2020-03-24,12
2020-03-25,5
2020-03-26,10
2020-03-27,11
2020-03-28,10
2020-03-29,43
2020-03-30,29
2020-03-31,63
2020-04-01,17
2020-04-02,97
2020-04-03,65
2020-04-04,24
2020-04-05,50
2020-04-06,108
2020-04-07,185
2020-04-08,31
2020-04-09,210
2020-04-10,172
2020-04-11,158
2020-04-12,286
2020-04-13,228
2020-04-14,340
2020-04-15,368
2020-04-16,255
2020-04-17,308
2020-04-18,330
2020-04-19,298
2020-04-20,295
2020-04-21,458
2020-04-22,708
2020-04-23,396
2020-04-24,392
2020-04-25,432
2020-04-26,296
