Date,Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,3
2020-02-28,6
2020-02-29,6
2020-03-01,9
2020-03-02,11
2020-03-03,11
2020-03-04,14
2020-03-05,15
2020-03-06,19
2020-03-07,22
2020-03-08,36
2020-03-09,46
2020-03-10,71
2020-03-11,93
2020-03-12,105
2020-03-13,139
2020-03-14,189
2020-03-15,209
2020-03-16,294
2020-03-17,326
2020-03-18,422
2020-03-19,663
2020-03-20,689
2020-03-21,846
2020-03-22,1033
2020-03-23,1400
2020-03-24,1874
2020-03-25,2306
2020-03-26,2617
2020-03-27,2944
2020-03-28,3518
2020-03-29,4100
2020-03-30,4518
2020-03-31,5114
2020-04-01,5825
2020-04-02,6483
2020-04-03,6985
2020-04-04,7380
2020-04-05,7904
2020-04-06,8262
2020-04-07,8413
2020-04-08,8530
2020-04-09,8871
2020-04-10,9130
2020-04-11,9301
2020-04-12,9415
2020-04-13,9615
2020-04-14,9728
2020-04-15,9808
2020-04-16,9798
2020-04-17,9705
2020-04-18,9645
2020-04-19,9565
2020-04-20,9487
2020-04-21,9251
2020-04-22,9094
2020-04-23,9000
2020-04-24,8861
2020-04-25,8664
2020-04-26,8511
2020-04-27,8151
2020-04-28,7772
2020-04-29,7386
2020-04-30,7163
2020-05-01,6720
2020-05-02,6363
2020-05-03,6227
2020-05-04,5947
2020-05-05,5586
2020-05-06,5434
2020-05-07,5268
2020-05-08,4962
2020-05-09,4831
2020-05-10,4795
2020-05-11,4405
2020-05-12,4186
2020-05-13,4052
2020-05-14,3793
2020-05-15,3736
2020-05-16,3484
2020-05-17,3403
2020-05-18,3114
2020-05-19,2946
2020-05-20,2884
2020-05-21,2680
2020-05-22,2496
2020-05-23,2343
2020-05-24,2285
2020-05-25,2146
2020-05-26,2019
2020-05-27,1942
2020-05-28,1909
2020-05-29,1927
2020-05-30,1917
2020-05-31,1974
2020-06-01,2006
2020-06-02,2055
2020-06-03,2103
2020-06-04,2191
2020-06-05,2245
2020-06-06,2415
2020-06-07,2474
2020-06-08,2632
2020-06-09,2722
2020-06-10,2888
2020-06-11,3019
2020-06-12,3207
2020-06-13,3315
2020-06-14,3380
2020-06-15,3520
2020-06-16,3744
2020-06-17,4021
2020-06-18,4215
2020-06-19,4449
2020-06-20,4742
2020-06-21,4778
2020-06-22,5014
2020-06-23,5335
2020-06-24,5796
2020-06-25,6084
2020-06-26,5614
2020-06-27,6102
