Date,New Daily Coronavirus Cases+Cured
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,0
2020-02-24,-1
2020-02-25,1
2020-02-26,1
2020-02-27,42
2020-02-28,1
2020-02-29,4
2020-03-01,33
2020-03-02,66
2020-03-03,11
2020-03-04,116
2020-03-05,138
2020-03-06,109
2020-03-07,66
2020-03-08,33
2020-03-09,102
2020-03-10,280
2020-03-11,41
2020-03-12,213
2020-03-13,181
2020-03-14,527
2020-03-15,369
2020-03-16,414
2020-03-17,192
2020-03-18,1084
2020-03-19,415
2020-03-20,689
2020-03-21,943
2020-03-22,952
2020-03-23,408
2020-03-24,894
2020-03-25,1036
2020-03-26,999
2020-03-27,589
2020-03-28,1434
2020-03-29,646
2020-03-30,1590
2020-03-31,1109
2020-04-01,1118
2020-04-02,1431
2020-04-03,1480
2020-04-04,1238
2020-04-05,819
2020-04-06,1022
2020-04-07,1555
2020-04-08,2099
2020-04-09,1979
2020-04-10,1985
2020-04-11,2079
2020-04-12,1677
2020-04-13,1224
2020-04-14,1695
2020-04-15,962
2020-04-16,2072
2020-04-17,2563
2020-04-18,2200
2020-04-19,2128
2020-04-20,1822
2020-04-21,2723
2020-04-22,2943
2020-04-23,3033
2020-04-24,2922
2020-04-25,2622
2020-04-26,1808
