Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,1.0
2020-02-21,17.0
2020-02-22,58.0
2020-02-23,78.0
2020-02-24,72.0
2020-02-25,94.0
2020-02-26,147.0
2020-02-27,185.0
2020-02-28,234.0
2020-02-29,239.0
2020-03-01,574.0
2020-03-02,336.0
2020-03-03,466.0
2020-03-04,588.0
2020-03-05,769.0
2020-03-06,778.0
2020-03-07,1247.0
2020-03-08,1494.0
2020-03-09,1799.0
2020-03-10,977.0
2020-03-11,2313.0
2020-03-12,2653.0
2020-03-13,2548.0
2020-03-14,3499.0
2020-03-15,3593.0
2020-03-16,3235.0
2020-03-17,3527.0
2020-03-18,4207.0
2020-03-19,5323.0
2020-03-20,5987.0
2020-03-21,6553.0
2020-03-22,5559.0
2020-03-23,4782.0
2020-03-24,5239.0
2020-03-25,5197.0
2020-03-26,6201.0
2020-03-27,5906.0
2020-03-28,5972.0
2020-03-29,5214.0
2020-03-30,4046.0
2020-03-31,4052.0
2020-04-01,4782.0
2020-04-02,4668.0
2020-04-03,4584.0
2020-04-04,4806.0
2020-04-05,4317.0
2020-04-06,3599.0
2020-04-07,3037.0
2020-04-08,3834.0
2020-04-09,4203.0
2020-04-10,3950.0
2020-04-11,4696.0
2020-04-12,4094.0
2020-04-13,3153.0
2020-04-14,2973.0
2020-04-15,2666.0
2020-04-16,3787.0
2020-04-17,3494.0
2020-04-18,3492.0
2020-04-19,3047.0
2020-04-20,2251.0
2020-04-21,2727.0
2020-04-22,3370.0
2020-04-23,2644.0
2020-04-24,3022.0
2020-04-25,2357.0
2020-04-26,2325.0
2020-04-27,1738.0
2020-04-28,2092.0
2020-04-29,2086.0
2020-04-30,1872.0
2020-05-01,1966.0
2020-05-02,1900.0
2020-05-03,1389.0
2020-05-04,1222.0
2020-05-05,1075.0
2020-05-06,1445.0
2020-05-07,1402.0
2020-05-08,1328.0
2020-05-09,1083.0
2020-05-10,802.0
2020-05-11,745.0
2020-05-12,1403.0
2020-05-13,888.0
2020-05-14,993.0
2020-05-15,789.0
2020-05-16,875.0
2020-05-17,675.0
2020-05-18,451.0
2020-05-19,813.0
2020-05-20,665.0
2020-05-21,643.0
2020-05-22,653.0
2020-05-23,670.0
2020-05-24,532.0
2020-05-25,300.0
2020-05-26,397.0
2020-05-27,585.0
2020-05-28,594.0
2020-05-29,517.0
2020-05-30,417.0
2020-05-31,334.0
2020-06-01,200.0
2020-06-02,319.0
2020-06-03,322.0
2020-06-04,177.0
2020-06-05,519.0
2020-06-06,270.0
2020-06-07,197.0
2020-06-08,280.0
2020-06-09,283.0
2020-06-10,202.0
2020-06-11,380.0
2020-06-12,163.0
2020-06-13,347.0
2020-06-14,337.0
2020-06-15,301.0
2020-06-16,210.0
2020-06-17,329.0
2020-06-18,332.0
2020-06-19,251.0
2020-06-20,264.0
2020-06-21,224.0
2020-06-22,221.0
2020-06-23,113.0
2020-06-24,190.0
2020-06-25,296.0
2020-06-26,255.0
2020-06-27,175.0
