Date,Novel Coronavirus Daily Deaths
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,4.0
2020-02-25,4.0
2020-02-26,1.0
2020-02-27,5.0
2020-02-28,4.0
2020-02-29,8.0
2020-03-01,12.0
2020-03-02,11.0
2020-03-03,27.0
2020-03-04,28.0
2020-03-05,41.0
2020-03-06,49.0
2020-03-07,36.0
2020-03-08,133.0
2020-03-09,97.0
2020-03-10,168.0
2020-03-11,196.0
2020-03-12,189.0
2020-03-13,250.0
2020-03-14,175.0
2020-03-15,367.0
2020-03-16,348.0
2020-03-17,344.0
2020-03-18,474.0
2020-03-19,426.0
2020-03-20,626.0
2020-03-21,792.0
2020-03-22,650.0
2020-03-23,600.0
2020-03-24,742.0
2020-03-25,682.0
2020-03-26,711.0
2020-03-27,917.0
2020-03-28,887.0
2020-03-29,755.0
2020-03-30,811.0
2020-03-31,836.0
2020-04-01,726.0
2020-04-02,759.0
2020-04-03,765.0
2020-04-04,680.0
2020-04-05,524.0
2020-04-06,635.0
2020-04-07,603.0
2020-04-08,541.0
2020-04-09,609.0
2020-04-10,569.0
2020-04-11,618.0
2020-04-12,430.0
2020-04-13,565.0
2020-04-14,601.0
2020-04-15,577.0
2020-04-16,524.0
2020-04-17,563.0
2020-04-18,481.0
2020-04-19,432.0
2020-04-20,453.0
2020-04-21,533.0
2020-04-22,436.0
2020-04-23,463.0
2020-04-24,419.0
2020-04-25,414.0
2020-04-26,260.0
2020-04-27,332.0
2020-04-28,381.0
2020-04-29,322.0
2020-04-30,284.0
2020-05-01,269.0
2020-05-02,473.0
2020-05-03,174.0
2020-05-04,195.0
2020-05-05,236.0
2020-05-06,368.0
2020-05-07,274.0
2020-05-08,243.0
2020-05-09,194.0
2020-05-10,165.0
2020-05-11,179.0
2020-05-12,172.0
2020-05-13,195.0
2020-05-14,262.0
2020-05-15,242.0
2020-05-16,153.0
2020-05-17,145.0
2020-05-18,99.0
2020-05-19,162.0
2020-05-20,161.0
2020-05-21,156.0
2020-05-22,130.0
2020-05-23,119.0
2020-05-24,50.0
2020-05-25,92.0
2020-05-26,78.0
2020-05-27,117.0
2020-05-28,70.0
2020-05-29,87.0
2020-05-30,111.0
2020-05-31,75.0
2020-06-01,60.0
2020-06-02,55.0
2020-06-03,71.0
2020-06-04,88.0
2020-06-05,85.0
2020-06-06,72.0
2020-06-07,53.0
2020-06-08,65.0
2020-06-09,79.0
2020-06-10,71.0
2020-06-11,53.0
2020-06-12,56.0
2020-06-13,78.0
2020-06-14,44.0
2020-06-15,26.0
2020-06-16,34.0
2020-06-17,43.0
2020-06-18,66.0
2020-06-19,47.0
2020-06-20,49.0
2020-06-21,24.0
2020-06-22,23.0
2020-06-23,18.0
2020-06-24,30.0
2020-06-25,34.0
2020-06-26,30.0
2020-06-27,8.0
