Date,Currently Infected
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,4
2020-02-21,19
2020-02-22,75
2020-02-23,152
2020-02-24,220
2020-02-25,310
2020-02-26,455
2020-02-27,593
2020-02-28,822
2020-02-29,1049
2020-03-01,1578
2020-03-02,1837
2020-03-03,2265
2020-03-04,2709
2020-03-05,3299
2020-03-06,3919
2020-03-07,5064
2020-03-08,6392
2020-03-09,7992
2020-03-10,8520
2020-03-11,10596
2020-03-12,12846
2020-03-13,14963
2020-03-14,17759
2020-03-15,20615
2020-03-16,23087
2020-03-17,26078
2020-03-18,28724
2020-03-19,33205
2020-03-20,37875
2020-03-21,42691
2020-03-22,46646
2020-03-23,50419
2020-03-24,54020
2020-03-25,57496
2020-03-26,61985
2020-03-27,66384
2020-03-28,70032
2020-03-29,73843
2020-03-30,75484
2020-03-31,77588
2020-04-01,80523
2020-04-02,82998
2020-04-03,85333
2020-04-04,88218
2020-04-05,91190
2020-04-06,93130
2020-04-07,94005
2020-04-08,95194
2020-04-09,96804
2020-04-10,98195
2020-04-11,100189
2020-04-12,102172
2020-04-13,103533
2020-04-14,104206
2020-04-15,105331
2020-04-16,106517
2020-04-17,106879
2020-04-18,107683
2020-04-19,108165
2020-04-20,108137
2020-04-21,107601
2020-04-22,107585
2020-04-23,106726
2020-04-24,106400
2020-04-25,105715
2020-04-26,105968
2020-04-27,105674
2020-04-28,105062
2020-04-29,104509
2020-04-30,101393
2020-05-01,100780
2020-05-02,100538
2020-05-03,100009
2020-05-04,99808
2020-05-05,98289
2020-05-06,91333
2020-05-07,89423
2020-05-08,87754
2020-05-09,84625
2020-05-10,83102
2020-05-11,82264
2020-05-12,81037
2020-05-13,78220
2020-05-14,76197
2020-05-15,71815
2020-05-16,69926
2020-05-17,68084
2020-05-18,66281
2020-05-19,64852
2020-05-20,62468
2020-05-21,60671
2020-05-22,59029
2020-05-23,57455
2020-05-24,56294
2020-05-25,54996
2020-05-26,52632
2020-05-27,50651
2020-05-28,47661
2020-05-29,45846
2020-05-30,43356
2020-05-31,41736
2020-06-01,41026
2020-06-02,39549
2020-06-03,38952
2020-06-04,38082
2020-06-05,36625
2020-06-06,35523
2020-06-07,34906
2020-06-08,34372
2020-06-09,32509
2020-06-10,31344
2020-06-11,30269
2020-06-12,28625
2020-06-13,27110
2020-06-14,25894
2020-06-15,25527
2020-06-16,24183
2020-06-17,23538
2020-06-18,22712
2020-06-19,21550
2020-06-20,21218
2020-06-21,20977
2020-06-22,20641
2020-06-23,19574
2020-06-24,18655
2020-06-25,18303
2020-06-26,17638
2020-06-27,16836
