Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,2
2020-03-12,2
2020-03-13,8
2020-03-14,8
2020-03-15,8
2020-03-16,10
2020-03-17,11
2020-03-18,12
2020-03-19,12
2020-03-20,16
2020-03-21,16
2020-03-22,16
2020-03-23,16
2020-03-24,18
2020-03-25,23
2020-03-26,23
2020-03-27,23
2020-03-28,27
2020-03-29,29
2020-03-30,33
2020-03-31,34
2020-04-01,39
2020-04-02,42
2020-04-03,43
2020-04-04,43
2020-04-05,47
2020-04-06,48
2020-04-07,51
2020-04-08,49
2020-04-09,47
2020-04-10,46
2020-04-11,52
2020-04-12,52
2020-04-13,50
2020-04-14,82
2020-04-15,99
2020-04-16,117
2020-04-17,113
2020-04-18,133
2020-04-19,141
2020-04-20,191
2020-04-21,195
2020-04-22,219
2020-04-23,218
2020-04-24,222
2020-04-25,253
2020-04-26,270
2020-04-27,315
2020-04-28,328
2020-04-29,360
2020-04-30,360
2020-05-01,385
2020-05-02,393
2020-05-03,422
2020-05-04,422
2020-05-05,413
2020-05-06,408
2020-05-07,412
2020-05-08,421
2020-05-09,419
