Date,Total Coronavirus Cases
2020-02-15,53
2020-02-16,59
2020-02-17,66
2020-02-18,74
2020-02-19,84
2020-02-20,94
2020-02-21,109
2020-02-22,134
2020-02-23,146
2020-02-24,159
2020-02-25,161
2020-02-26,172
2020-02-27,214
2020-02-28,233
2020-02-29,241
2020-03-01,256
2020-03-02,274
2020-03-03,293
2020-03-04,331
2020-03-05,364
2020-03-06,420
2020-03-07,461
2020-03-08,502
2020-03-09,530
2020-03-10,587
2020-03-11,639
2020-03-12,691
2020-03-13,734
2020-03-14,804
2020-03-15,833
2020-03-16,850
2020-03-17,878
2020-03-18,914
2020-03-19,943
2020-03-20,1007
2020-03-21,1054
2020-03-22,1101
2020-03-23,1128
2020-03-24,1193
2020-03-25,1307
2020-03-26,1387
2020-03-27,1499
2020-03-28,1693
2020-03-29,1866
2020-03-30,1953
2020-03-31,2178
2020-04-01,2384
2020-04-02,2617
2020-04-03,2935
2020-04-04,3139
2020-04-05,3654
2020-04-06,3906
2020-04-07,4257
2020-04-08,4667
2020-04-09,5347
2020-04-10,6005
2020-04-11,6748
2020-04-12,7370
2020-04-13,7618
2020-04-14,7885
2020-04-15,8626
2020-04-16,9231
2020-04-17,9787
2020-04-18,10296
2020-04-19,10797
2020-04-20,11135
2020-04-21,11512
2020-04-22,11950
2020-04-23,12368
2020-04-24,12712
2020-04-25,13231
2020-04-26,13449
2020-04-27,13614
2020-04-28,13736
2020-04-29,13895
2020-04-30,14088
2020-05-01,14305
2020-05-02,14571
2020-05-03,14877
2020-05-04,15078
2020-05-05,15253
2020-05-06,15253
2020-05-07,15477
2020-05-08,15575
2020-05-09,15663
2020-05-10,15777
2020-05-11,15847
2020-05-12,15968
2020-05-13,16049
2020-05-14,16120
2020-05-15,16203
2020-05-16,16237
2020-05-17,16285
2020-05-18,16305
2020-05-19,16367
2020-05-20,16385
2020-05-21,16424
2020-05-22,16513
2020-05-23,16536
2020-05-24,16550
2020-05-25,16581
2020-05-26,16623
2020-05-27,16651
2020-05-28,16683
2020-05-29,16719
2020-05-30,16804
2020-05-31,16851
2020-06-01,16884
2020-06-02,16930
2020-06-03,16986
2020-06-04,17018
2020-06-05,17064
2020-06-06,17103
2020-06-07,17141
2020-06-08,17174
2020-06-09,17210
2020-06-10,17251
2020-06-11,17292
2020-06-12,17332
2020-06-13,17382
2020-06-14,17429
2020-06-15,17502
2020-06-16,17587
2020-06-17,17628
2020-06-18,17668
2020-06-19,17740
2020-06-20,17799
2020-06-21,17864
