Date,Total Coronavirus Currently Infected
2020-02-15,52
2020-02-16,58
2020-02-17,47
2020-02-18,53
2020-02-19,63
2020-02-20,73
2020-02-21,86
2020-02-22,111
2020-02-23,122
2020-02-24,135
2020-02-25,137
2020-02-26,146
2020-02-27,178
2020-02-28,196
2020-02-29,204
2020-03-01,208
2020-03-02,226
2020-03-03,244
2020-03-04,282
2020-03-05,315
2020-03-06,365
2020-03-07,379
2020-03-08,419
2020-03-09,437
2020-03-10,473
2020-03-11,506
2020-03-12,554
2020-03-13,595
2020-03-14,638
2020-03-15,665
2020-03-16,678
2020-03-17,705
2020-03-18,694
2020-03-19,719
2020-03-20,757
2020-03-21,803
2020-03-22,825
2020-03-23,851
2020-03-24,865
2020-03-25,952
2020-03-26,981
2020-03-27,1078
2020-03-28,1237
2020-03-29,1388
2020-03-30,1473
2020-03-31,1697
2020-04-01,1855
2020-04-02,2082
2020-04-03,2352
2020-04-04,2548
2020-04-05,2994
2020-04-06,3222
2020-04-07,3542
2020-04-08,3941
2020-04-09,4563
2020-04-10,5221
2020-04-11,5878
2020-04-12,6463
2020-04-13,6676
2020-04-14,6886
2020-04-15,7547
2020-04-16,8106
2020-04-17,8662
2020-04-18,9005
2020-04-19,9402
2020-04-20,9633
2020-04-21,9875
2020-04-22,10227
2020-04-23,10546
2020-04-24,10837
2020-04-25,11215
2020-04-26,11268
2020-04-27,11330
2020-04-28,11443
2020-04-29,11114
2020-04-30,11198
2020-05-01,10875
2020-05-02,10892
2020-05-03,10409
2020-05-04,10386
2020-05-05,10201
2020-05-06,10201
2020-05-07,9982
2020-05-08,9839
2020-05-09,9150
2020-05-10,7026
2020-05-11,6921
2020-05-12,6780
2020-05-13,6451
