Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,11.0
2020-03-16,17.0
2020-03-17,19.0
2020-03-18,8.0
2020-03-19,13.0
2020-03-20,15.0
2020-03-21,16.0
2020-03-22,12.0
2020-03-23,15.0
2020-03-24,27.0
2020-03-25,18.0
2020-03-26,40.0
2020-03-27,23.0
2020-03-28,11.0
2020-03-29,13.0
2020-03-30,9.0
2020-03-31,6.0
2020-04-01,4.0
2020-04-02,21.0
2020-04-03,11.0
2020-04-04,13.0
2020-04-05,22.0
2020-04-06,4.0
2020-04-07,4.0
2020-04-08,5.0
2020-04-09,14.0
2020-04-10,0.0
2020-04-11,9.0
2020-04-12,8.0
2020-04-13,2.0
2020-04-14,6.0
2020-04-15,4.0
2020-04-16,1.0
2020-04-17,5.0
2020-04-18,6.0
2020-04-19,4.0
2020-04-20,8.0
2020-04-21,3.0
2020-04-22,7.0
2020-04-23,2.0
2020-04-24,4.0
2020-04-25,3.0
2020-04-26,3.0
2020-04-27,2.0
2020-04-28,0.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,6.0
2020-05-02,1.0
2020-05-03,1.0
2020-05-04,4.0
2020-05-05,6.0
2020-05-06,2.0
2020-05-07,21.0
2020-05-08,14.0
2020-05-09,14.0
