Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,4
2020-03-14,6
2020-03-15,9
2020-03-16,10
2020-03-17,33
2020-03-18,36
2020-03-19,44
2020-03-20,52
2020-03-21,54
2020-03-22,60
2020-03-23,62
2020-03-24,72
2020-03-25,81
2020-03-26,110
2020-03-27,146
2020-03-28,211
2020-03-29,263
2020-03-30,280
2020-03-31,317
2020-04-01,351
2020-04-02,405
2020-04-03,432
2020-04-04,490
2020-04-05,536
2020-04-06,610
2020-04-07,640
2020-04-08,666
2020-04-09,713
2020-04-10,738
2020-04-11,774
2020-04-12,842
2020-04-13,941
2020-04-14,1015
2020-04-15,1039
2020-04-16,1108
2020-04-17,1182
2020-04-18,1221
2020-04-19,1259
2020-04-20,1386
2020-04-21,1487
2020-04-22,1601
2020-04-23,1709
2020-04-24,1787
2020-04-25,1930
2020-04-26,2010
2020-04-27,2090
2020-04-28,2228
2020-04-29,2294
2020-04-30,2511
2020-05-01,2650
2020-05-02,2847
2020-05-03,2809
2020-05-04,2847
2020-05-05,2897
2020-05-06,2984
2020-05-07,3030
2020-05-08,3172
2020-05-09,3168
2020-05-10,3118
2020-05-11,3101
2020-05-12,3024
2020-05-13,2977
2020-05-14,3008
2020-05-15,2948
2020-05-16,2836
2020-05-17,2867
2020-05-18,2936
2020-05-19,3118
2020-05-20,3200
2020-05-21,3356
2020-05-22,3466
