Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,3
2020-03-16,3
2020-03-17,4
2020-03-18,7
2020-03-19,7
2020-03-20,7
2020-03-21,7
2020-03-22,15
2020-03-23,16
2020-03-24,25
2020-03-25,28
2020-03-26,31
2020-03-27,31
2020-03-28,38
2020-03-29,42
2020-03-30,50
2020-03-31,59
2020-04-01,81
2020-04-02,110
2020-04-03,122
2020-04-04,126
2020-04-05,142
2020-04-06,158
2020-04-07,172
2020-04-08,179
2020-04-09,184
2020-04-10,189
2020-04-11,191
2020-04-12,197
2020-04-13,208
2020-04-14,216
2020-04-15,225
2020-04-16,234
2020-04-17,246
2020-04-18,262
2020-04-19,270
2020-04-20,281
2020-04-21,296
2020-04-22,303
2020-04-23,320
2020-04-24,336
2020-04-25,343
2020-04-26,355
