Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,5
2020-02-25,11
2020-02-26,26
2020-02-27,43
2020-02-28,45
2020-02-29,45
2020-03-01,46
2020-03-02,56
2020-03-03,56
2020-03-04,56
2020-03-05,58
2020-03-06,58
2020-03-07,61
2020-03-08,64
2020-03-09,65
2020-03-10,69
2020-03-11,72
2020-03-12,80
2020-03-13,100
2020-03-14,104
2020-03-15,112
2020-03-16,123
2020-03-17,130
2020-03-18,142
2020-03-19,148
2020-03-20,159
2020-03-21,176
2020-03-22,188
2020-03-23,189
2020-03-24,191
2020-03-25,195
2020-03-26,208
2020-03-27,225
2020-03-28,235
2020-03-29,255
2020-03-30,266
2020-03-31,289
2020-04-01,317
2020-04-02,342
2020-04-03,417
2020-04-04,479
2020-04-05,556
2020-04-06,665
2020-04-07,743
2020-04-08,855
2020-04-09,910
2020-04-10,993
2020-04-11,1154
2020-04-12,1234
2020-04-13,1300
2020-04-14,1355
2020-04-15,1405
2020-04-16,1524
2020-04-17,1658
2020-04-18,1751
2020-04-19,1915
2020-04-20,1995
2020-04-21,2080
2020-04-22,2248
2020-04-23,2399
2020-04-24,2614
2020-04-25,2892
2020-04-26,3075
2020-04-27,3288
2020-04-28,3440
2020-04-29,3740
2020-04-30,4024
2020-05-01,4377
2020-05-02,4619
2020-05-03,4983
2020-05-04,5278
2020-05-05,5804
2020-05-06,6289
2020-05-07,6567
2020-05-08,7208
2020-05-09,7623
2020-05-10,8688
2020-05-11,9286
2020-05-12,10277
2020-05-13,11028
2020-05-14,11975
2020-05-15,12860
2020-05-16,13802
2020-05-17,14850
2020-05-18,15691
2020-05-19,16764
2020-05-20,17568
2020-05-21,18609
2020-05-22,19564
2020-05-23,20464
2020-05-24,21302
2020-05-25,21967
2020-05-26,22575
2020-05-27,23267
2020-05-28,24112
2020-05-29,25184
2020-05-30,26192
2020-05-31,27043
2020-06-01,27762
2020-06-02,28649
2020-06-03,29359
2020-06-04,29921
2020-06-05,30644
2020-06-06,31131
2020-06-07,31848
2020-06-08,32510
2020-06-09,33140
2020-06-10,33823
2020-06-11,34432
2020-06-12,34952
2020-06-13,35466
2020-06-14,35920
2020-06-15,36431
2020-06-16,36958
2020-06-17,37533
2020-06-18,38074
2020-06-19,38678
2020-06-20,39145
2020-06-21,39650
2020-06-22,40291
2020-06-23,41033
2020-06-24,41879
2020-06-25,42788
2020-06-26,43703
2020-06-27,44391
