Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,3
2020-03-19,3
2020-03-20,6
2020-03-21,14
2020-03-22,14
2020-03-23,16
2020-03-24,42
2020-03-25,44
2020-03-26,44
2020-03-27,58
2020-03-28,58
2020-03-29,84
2020-03-30,94
2020-03-31,107
2020-04-01,111
2020-04-02,116
2020-04-03,130
2020-04-04,144
2020-04-05,147
2020-04-06,216
2020-04-07,228
2020-04-08,270
2020-04-09,280
2020-04-10,298
2020-04-11,339
2020-04-12,377
2020-04-13,419
2020-04-14,430
2020-04-15,449
2020-04-16,466
2020-04-17,489
2020-04-18,506
2020-04-19,554
2020-04-20,568
2020-04-21,590
2020-04-22,612
2020-04-23,631
2020-04-24,656
2020-04-25,665
2020-04-26,682
2020-04-27,695
2020-04-28,708
2020-04-29,729
2020-04-30,746
2020-05-01,756
2020-05-02,769
2020-05-03,795
2020-05-04,830
2020-05-05,843
2020-05-06,871
2020-05-07,895
2020-05-08,906
2020-05-09,931
2020-05-10,1002
2020-05-11,1016
2020-05-12,1037
2020-05-13,1044
2020-05-14,1082
2020-05-15,1111
2020-05-16,1117
2020-05-17,1138
2020-05-18,1216
2020-05-19,1243
2020-05-20,1270
2020-05-21,1313
2020-05-22,1350
2020-05-23,1365
2020-05-24,1403
2020-05-25,1433
2020-05-26,1468
2020-05-27,1520
2020-05-28,1594
2020-05-29,1662
2020-05-30,1722
2020-05-31,1748
2020-06-01,1817
2020-06-02,1845
2020-06-03,1871
2020-06-04,1899
2020-06-05,1936
2020-06-06,1974
2020-06-07,2007
2020-06-08,2032
2020-06-09,2055
2020-06-10,2093
2020-06-11,2129
2020-06-12,2166
2020-06-13,2207
2020-06-14,2285
2020-06-15,2372
2020-06-16,2472
2020-06-17,2562
2020-06-18,2657
2020-06-19,2789
2020-06-20,2981
2020-06-21,3151
2020-06-22,3356
2020-06-23,3519
2020-06-24,3726
2020-06-25,3954
2020-06-26,4204
2020-06-27,4513
