Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,3
2020-02-28,4
2020-02-29,7
2020-03-01,10
2020-03-02,13
2020-03-03,13
2020-03-04,15
2020-03-05,16
2020-03-06,22
2020-03-07,28
2020-03-08,32
2020-03-09,41
2020-03-10,52
2020-03-11,68
2020-03-12,68
2020-03-13,77
2020-03-14,93
2020-03-15,110
2020-03-16,109
2020-03-17,124
2020-03-18,133
2020-03-19,157
2020-03-20,177
2020-03-21,230
2020-03-22,248
2020-03-23,267
2020-03-24,318
2020-03-25,333
2020-03-26,368
2020-03-27,391
2020-03-28,412
2020-03-29,438
2020-03-30,446
2020-03-31,463
2020-04-01,479
2020-04-02,494
2020-04-03,508
2020-04-04,520
2020-04-05,527
2020-04-06,541
2020-04-07,548
2020-04-08,576
2020-04-09,582
2020-04-10,609
2020-04-11,619
2020-04-12,630
2020-04-13,632
2020-04-14,641
2020-04-15,658
2020-04-16,663
2020-04-17,668
2020-04-18,672
2020-04-19,673
2020-04-20,677
2020-04-21,677
2020-04-22,682
2020-04-23,688
2020-04-24,696
2020-04-25,704
2020-04-26,707
2020-04-27,710
2020-04-28,717
2020-04-29,721
2020-04-30,725
2020-05-01,729
2020-05-02,733
2020-05-03,737
2020-05-04,740
2020-05-05,741
2020-05-06,750
2020-05-07,784
2020-05-08,796
2020-05-09,809
2020-05-10,845
2020-05-11,859
2020-05-12,870
2020-05-13,878
2020-05-14,886
2020-05-15,891
2020-05-16,902
2020-05-17,911
2020-05-18,931
2020-05-19,954
2020-05-20,961
2020-05-21,1024
2020-05-22,1086
