Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,1.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,2.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,3.0
2020-03-14,3.0
2020-03-15,5.0
2020-03-16,4.0
2020-03-17,8.0
2020-03-18,8.0
2020-03-19,14.0
2020-03-20,21.0
2020-03-21,30.0
2020-03-22,44.0
2020-03-23,36.0
2020-03-24,30.0
2020-03-25,65.0
2020-03-26,25.0
2020-03-27,59.0
2020-03-28,36.0
2020-03-29,66.0
2020-03-30,31.0
2020-03-31,46.0
2020-04-01,44.0
2020-04-02,68.0
2020-04-03,47.0
2020-04-04,75.0
2020-04-05,40.0
2020-04-06,32.0
2020-04-07,37.0
2020-04-08,32.0
2020-04-09,43.0
2020-04-10,44.0
2020-04-11,27.0
2020-04-12,27.0
2020-04-13,9.0
2020-04-14,8.0
2020-04-15,21.0
2020-04-16,37.0
2020-04-17,21.0
2020-04-18,90.0
2020-04-19,59.0
2020-04-20,28.0
2020-04-21,24.0
2020-04-22,20.0
2020-04-23,28.0
2020-04-24,12.0
2020-04-25,16.0
2020-04-26,12.0
2020-04-27,11.0
2020-04-28,-105.0
2020-04-29,31.0
2020-04-30,10.0
2020-05-01,14.0
2020-05-02,7.0
2020-05-03,4.0
2020-05-04,9.0
2020-05-05,4.0
2020-05-06,5.0
2020-05-07,5.0
2020-05-08,3.0
2020-05-09,8.0
2020-05-10,35.0
2020-05-11,6.0
2020-05-12,6.0
2020-05-13,14.0
2020-05-14,6.0
2020-05-15,12.0
2020-05-16,11.0
2020-05-17,7.0
2020-05-18,6.0
2020-05-19,15.0
2020-05-20,15.0
2020-05-21,16.0
2020-05-22,11.0
2020-05-23,12.0
2020-05-24,7.0
2020-05-25,12.0
2020-05-26,4.0
2020-05-27,8.0
2020-05-28,9.0
2020-05-29,6.0
2020-05-30,8.0
2020-05-31,5.0
2020-06-01,3.0
2020-06-02,4.0
2020-06-03,2.0
2020-06-04,3.0
2020-06-05,7.0
2020-06-06,11.0
2020-06-07,9.0
2020-06-08,6.0
2020-06-09,7.0
2020-06-10,6.0
2020-06-11,19.0
2020-06-12,4.0
2020-06-13,7.0
2020-06-14,5.0
2020-06-15,5.0
2020-06-16,3.0
2020-06-17,2.0
2020-06-18,6.0
2020-06-19,8.0
2020-06-20,3.0
2020-06-21,3.0
