Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,1
2020-03-23,2
2020-03-24,2
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,4
2020-03-29,6
2020-03-30,7
2020-03-31,9
2020-04-01,11
2020-04-02,11
2020-04-03,12
2020-04-04,17
2020-04-05,18
2020-04-06,23
2020-04-07,26
2020-04-08,29
2020-04-09,30
2020-04-10,32
2020-04-11,34
2020-04-12,34
2020-04-13,38
2020-04-14,44
2020-04-15,45
2020-04-16,46
2020-04-17,49
2020-04-18,49
2020-04-19,51
2020-04-20,54
2020-04-21,55
2020-04-22,56
2020-04-23,56
2020-04-24,57
2020-04-25,59
2020-04-26,61
2020-04-27,65
2020-04-28,71
2020-04-29,73
2020-04-30,77
2020-05-01,81
2020-05-02,82
2020-05-03,84
2020-05-04,85
2020-05-05,86
2020-05-06,88
2020-05-07,89
2020-05-08,90
2020-05-09,91
2020-05-10,91
2020-05-11,91
2020-05-12,92
2020-05-13,95
2020-05-14,95
2020-05-15,97
2020-05-16,98
2020-05-17,101
2020-05-18,104
2020-05-19,106
2020-05-20,110
2020-05-21,111
2020-05-22,112
2020-05-23,113
2020-05-24,113
2020-05-25,113
2020-05-26,116
2020-05-27,119
2020-05-28,121
2020-05-29,126
