Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,2.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,2.0
2020-03-10,2.0
2020-03-11,2.0
2020-03-12,0.0
2020-03-13,5.0
2020-03-14,5.0
2020-03-15,0.0
2020-03-16,5.0
2020-03-17,7.0
2020-03-18,12.0
2020-03-19,7.0
2020-03-20,26.0
2020-03-21,9.0
2020-03-22,30.0
2020-03-23,21.0
2020-03-24,12.0
2020-03-25,29.0
2020-03-26,24.0
2020-03-27,18.0
2020-03-28,22.0
2020-03-29,18.0
2020-03-30,26.0
2020-03-31,44.0
2020-04-01,25.0
2020-04-02,30.0
2020-04-03,46.0
2020-04-04,53.0
2020-04-05,72.0
2020-04-06,15.0
2020-04-07,29.0
2020-04-08,18.0
2020-04-09,46.0
2020-04-10,48.0
2020-04-11,49.0
2020-04-12,68.0
2020-04-13,26.0
2020-04-14,54.0
2020-04-15,66.0
2020-04-16,107.0
2020-04-17,36.0
2020-04-18,53.0
2020-04-19,37.0
2020-04-20,18.0
2020-04-21,6.0
2020-04-22,28.0
2020-04-23,41.0
2020-04-24,26.0
2020-04-25,41.0
2020-04-26,19.0
2020-04-27,13.0
2020-04-28,22.0
2020-04-29,21.0
2020-04-30,23.0
2020-05-01,29.0
2020-05-02,12.0
2020-05-03,5.0
2020-05-04,7.0
2020-05-05,8.0
2020-05-06,13.0
2020-05-07,33.0
2020-05-08,14.0
2020-05-09,36.0
2020-05-10,20.0
2020-05-11,22.0
2020-05-12,10.0
2020-05-13,20.0
