Date,Total Coronavirus Cases
2020-02-15,22
2020-02-16,22
2020-02-17,22
2020-02-18,22
2020-02-19,22
2020-02-20,22
2020-02-21,22
2020-02-22,22
2020-02-23,22
2020-02-24,22
2020-02-25,22
2020-02-26,22
2020-02-27,22
2020-02-28,25
2020-02-29,25
2020-03-01,29
2020-03-02,29
2020-03-03,36
2020-03-04,50
2020-03-05,55
2020-03-06,83
2020-03-07,93
2020-03-08,99
2020-03-09,117
2020-03-10,129
2020-03-11,149
2020-03-12,158
2020-03-13,197
2020-03-14,238
2020-03-15,428
2020-03-16,566
2020-03-17,673
2020-03-18,790
2020-03-19,900
2020-03-20,1030
2020-03-21,1183
2020-03-22,1306
2020-03-23,1518
2020-03-24,1624
2020-03-25,1796
2020-03-26,2031
2020-03-27,2161
2020-03-28,2320
2020-03-29,2470
2020-03-30,2626
2020-03-31,2766
2020-04-01,2908
2020-04-02,3116
2020-04-03,3333
2020-04-04,3483
2020-04-05,3662
2020-04-06,3793
2020-04-07,3963
2020-04-08,4119
2020-04-09,4228
2020-04-10,4346
2020-04-11,4530
2020-04-12,4683
2020-04-13,4817
2020-04-14,4987
2020-04-15,5072
2020-04-16,5182
2020-04-17,5251
2020-04-18,5305
2020-04-19,5389
2020-04-20,5425
2020-04-21,5482
2020-04-22,5532
2020-04-23,5603
2020-04-24,5691
2020-04-25,5742
2020-04-26,5780
2020-04-27,5820
2020-04-28,5851
2020-04-29,5945
2020-04-30,6002
2020-05-01,6071
2020-05-02,6176
2020-05-03,6298
2020-05-04,6353
2020-05-05,6383
2020-05-06,6428
2020-05-07,6467
2020-05-08,6535
2020-05-09,6589
