Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,2
2020-03-26,4
2020-03-27,11
2020-03-28,18
2020-03-29,18
2020-03-30,25
2020-03-31,28
2020-04-01,31
2020-04-02,36
2020-04-03,39
2020-04-04,41
2020-04-05,45
2020-04-06,47
2020-04-07,56
2020-04-08,59
2020-04-09,74
2020-04-10,87
2020-04-11,87
2020-04-12,105
2020-04-13,123
2020-04-14,144
2020-04-15,148
2020-04-16,171
2020-04-17,171
2020-04-18,216
2020-04-19,224
2020-04-20,246
2020-04-21,258
2020-04-22,293
2020-04-23,309
2020-04-24,325
2020-04-25,370
2020-04-26,389
