Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,2.0
2020-03-27,7.0
2020-03-28,7.0
2020-03-29,0.0
2020-03-30,7.0
2020-03-31,3.0
2020-04-01,3.0
2020-04-02,5.0
2020-04-03,3.0
2020-04-04,2.0
2020-04-05,4.0
2020-04-06,2.0
2020-04-07,9.0
2020-04-08,3.0
2020-04-09,15.0
2020-04-10,13.0
2020-04-11,0.0
2020-04-12,18.0
2020-04-13,18.0
2020-04-14,21.0
2020-04-15,4.0
2020-04-16,23.0
2020-04-17,0.0
2020-04-18,45.0
2020-04-19,8.0
2020-04-20,22.0
2020-04-21,12.0
2020-04-22,35.0
2020-04-23,16.0
2020-04-24,16.0
2020-04-25,45.0
2020-04-26,19.0
2020-04-27,19.0
2020-04-28,16.0
2020-04-29,58.0
2020-04-30,8.0
2020-05-01,18.0
2020-05-02,36.0
2020-05-03,19.0
2020-05-04,17.0
2020-05-05,32.0
2020-05-06,19.0
2020-05-07,19.0
2020-05-08,18.0
2020-05-09,24.0
2020-05-10,12.0
2020-05-11,8.0
2020-05-12,18.0
2020-05-13,28.0
2020-05-14,21.0
2020-05-15,27.0
2020-05-16,29.0
2020-05-17,25.0
2020-05-18,14.0
2020-05-19,27.0
2020-05-20,30.0
2020-05-21,16.0
2020-05-22,22.0
2020-05-23,46.0
2020-05-24,15.0
2020-05-25,29.0
2020-05-26,18.0
2020-05-27,39.0
2020-05-28,78.0
2020-05-29,32.0
2020-05-30,24.0
2020-05-31,15.0
2020-06-01,50.0
2020-06-02,36.0
2020-06-03,35.0
2020-06-04,75.0
2020-06-05,24.0
2020-06-06,38.0
2020-06-07,10.0
2020-06-08,14.0
2020-06-09,39.0
2020-06-10,81.0
2020-06-11,55.0
2020-06-12,30.0
2020-06-13,24.0
2020-06-14,33.0
2020-06-15,51.0
2020-06-16,25.0
2020-06-17,5.0
2020-06-18,16.0
2020-06-19,17.0
2020-06-20,0.0
2020-06-21,10.0
2020-06-22,28.0
2020-06-23,17.0
2020-06-24,27.0
2020-06-25,34.0
2020-06-26,21.0
2020-06-27,58.0
