Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,3
2020-03-08,3
2020-03-09,4
2020-03-10,5
2020-03-11,7
2020-03-12,9
2020-03-13,12
2020-03-14,18
2020-03-15,21
2020-03-16,30
2020-03-17,38
2020-03-18,48
2020-03-19,53
2020-03-20,64
2020-03-21,73
2020-03-22,90
2020-03-23,107
2020-03-24,110
2020-03-25,129
2020-03-26,134
2020-03-27,139
2020-03-28,149
2020-03-29,151
2020-03-30,156
2020-03-31,169
2020-04-01,188
2020-04-02,196
2020-04-03,202
2020-04-04,213
2020-04-05,227
2020-04-06,241
2020-04-07,293
2020-04-08,299
2020-04-09,337
2020-04-10,350
2020-04-11,370
2020-04-12,378
2020-04-13,384
2020-04-14,393
2020-04-15,399
2020-04-16,412
2020-04-17,422
2020-04-18,426
2020-04-19,427
2020-04-20,431
2020-04-21,443
2020-04-22,444
2020-04-23,445
2020-04-24,447
2020-04-25,448
2020-04-26,448
2020-04-27,450
2020-04-28,458
2020-04-29,463
2020-04-30,465
2020-05-01,467
2020-05-02,468
2020-05-03,477
2020-05-04,480
2020-05-05,482
2020-05-06,484
2020-05-07,486
2020-05-08,489
2020-05-09,490
2020-05-10,496
2020-05-11,503
2020-05-12,506
2020-05-13,508
2020-05-14,522
2020-05-15,532
2020-05-16,546
2020-05-17,553
2020-05-18,558
2020-05-19,569
2020-05-20,584
2020-05-21,599
2020-05-22,600
2020-05-23,609
2020-05-24,610
2020-05-25,611
2020-05-26,611
2020-05-27,612
2020-05-28,616
2020-05-29,616
2020-05-30,618
2020-05-31,618
2020-06-01,619
2020-06-02,620
2020-06-03,622
2020-06-04,622
2020-06-05,625
2020-06-06,627
2020-06-07,629
2020-06-08,630
2020-06-09,632
2020-06-10,635
2020-06-11,640
2020-06-12,645
2020-06-13,646
2020-06-14,649
2020-06-15,650
2020-06-16,656
2020-06-17,662
2020-06-18,663
2020-06-19,663
2020-06-20,664
2020-06-21,665
2020-06-22,665
2020-06-23,665
2020-06-24,665
2020-06-25,668
2020-06-26,670
2020-06-27,670
