Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,0.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,2.0
2020-03-12,2.0
2020-03-13,3.0
2020-03-14,6.0
2020-03-15,3.0
2020-03-16,9.0
2020-03-17,8.0
2020-03-18,10.0
2020-03-19,5.0
2020-03-20,11.0
2020-03-21,9.0
2020-03-22,17.0
2020-03-23,17.0
2020-03-24,3.0
2020-03-25,19.0
2020-03-26,5.0
2020-03-27,5.0
2020-03-28,10.0
2020-03-29,2.0
2020-03-30,5.0
2020-03-31,13.0
2020-04-01,19.0
2020-04-02,8.0
2020-04-03,6.0
2020-04-04,11.0
2020-04-05,14.0
2020-04-06,14.0
2020-04-07,52.0
2020-04-08,6.0
2020-04-09,38.0
2020-04-10,13.0
2020-04-11,20.0
2020-04-12,8.0
2020-04-13,6.0
2020-04-14,9.0
2020-04-15,6.0
2020-04-16,13.0
2020-04-17,10.0
2020-04-18,4.0
2020-04-19,1.0
2020-04-20,4.0
2020-04-21,12.0
2020-04-22,1.0
2020-04-23,1.0
2020-04-24,2.0
2020-04-25,1.0
2020-04-26,0.0
2020-04-27,2.0
2020-04-28,8.0
2020-04-29,5.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,1.0
2020-05-03,9.0
2020-05-04,3.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,3.0
2020-05-09,1.0
