Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,3
2020-03-19,7
2020-03-20,12
2020-03-21,13
2020-03-22,26
2020-03-23,34
2020-03-24,40
2020-03-25,46
2020-03-26,79
2020-03-27,92
2020-03-28,100
2020-03-29,104
2020-03-30,125
2020-03-31,138
2020-04-01,155
2020-04-02,162
2020-04-03,179
2020-04-04,182
2020-04-05,213
2020-04-06,230
2020-04-07,253
2020-04-08,247
2020-04-09,284
2020-04-10,286
2020-04-11,282
2020-04-12,273
2020-04-13,273
2020-04-14,264
2020-04-15,250
2020-04-16,234
2020-04-17,207
2020-04-18,136
2020-04-19,111
2020-04-20,95
2020-04-21,76
2020-04-22,59
2020-04-23,56
2020-04-24,37
2020-04-25,27
2020-04-26,24
