Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,3
2020-03-18,3
2020-03-19,4
2020-03-20,7
2020-03-21,11
2020-03-22,11
2020-03-23,24
2020-03-24,36
2020-03-25,36
2020-03-26,36
2020-03-27,50
2020-03-28,63
2020-03-29,63
2020-03-30,82
2020-03-31,94
2020-04-01,101
2020-04-02,116
2020-04-03,128
2020-04-04,134
2020-04-05,147
2020-04-06,164
2020-04-07,171
2020-04-08,184
2020-04-09,184
2020-04-10,191
2020-04-11,196
2020-04-12,196
2020-04-13,207
2020-04-14,217
2020-04-15,217
2020-04-16,233
2020-04-17,245
2020-04-18,254
2020-04-19,271
2020-04-20,271
2020-04-21,311
2020-04-22,326
2020-04-23,326
2020-04-24,354
2020-04-25,380
2020-04-26,401
