Date,New Daily Coronavirus Cases+Cured
2020-02-15,
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-08,0.0
2020-03-09,3.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,31.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,598.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,1139.0
2020-04-13,71.0
2020-04-14,121.0
2020-04-15,161.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,502.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,4522.0
2020-04-26,0.0
2020-04-27,1205.0
2020-04-28,732.0
2020-04-29,2337.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,954.0
2020-05-03,1070.0
2020-05-04,0.0
2020-05-05,2491.0
2020-05-06,872.0
2020-05-07,971.0
2020-05-08,0.0
2020-05-09,2533.0
2020-05-10,1510.0
2020-05-11,1276.0
2020-05-12,0.0
2020-05-13,2835.0
2020-05-14,1055.0
2020-05-15,1485.0
2020-05-16,1976.0
2020-05-17,1397.0
2020-05-18,1481.0
2020-05-19,2059.0
2020-05-20,1937.0
2020-05-21,1551.0
2020-05-22,1781.0
2020-05-23,2068.0
2020-05-24,2194.0
2020-05-25,2505.0
2020-05-26,2466.0
2020-05-27,2329.0
2020-05-28,2164.0
2020-05-29,2255.0
