Date,Total Coronavirus Deaths
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,4
2020-03-25,5
2020-03-26,6
2020-03-27,8
2020-03-28,12
2020-03-29,16
2020-03-30,20
2020-03-31,28
2020-04-01,29
2020-04-02,37
2020-04-03,50
2020-04-04,60
2020-04-05,79
2020-04-06,94
2020-04-07,125
2020-04-08,141
2020-04-09,174
2020-04-10,194
2020-04-11,233
2020-04-12,273
2020-04-13,296
2020-04-14,332
2020-04-15,406
2020-04-16,449
2020-04-17,486
2020-04-18,546
2020-04-19,650
2020-04-20,686
2020-04-21,712
2020-04-22,857
2020-04-23,970
2020-04-24,1069
2020-04-25,1221
2020-04-26,1305
2020-04-27,1351
2020-04-28,1434
2020-04-29,1569
2020-04-30,1732
2020-05-01,1859
2020-05-02,1972
2020-05-03,2061
2020-05-04,2154
2020-05-05,2271
2020-05-06,2507
2020-05-07,2704
2020-05-08,2961
2020-05-09,3160
2020-05-10,3353
2020-05-11,3465
2020-05-12,3573
2020-05-13,3926
