Date,Percent (%)
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,nan
2020-02-29,nan
2020-03-01,nan
2020-03-02,nan
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,20
2020-03-20,20
2020-03-21,33.33
2020-03-22,33.33
2020-03-23,42.86
2020-03-24,50
2020-03-25,55.56
2020-03-26,60
2020-03-27,66.67
2020-03-28,75
2020-03-29,31.37
2020-03-30,36.36
2020-03-31,44.44
2020-04-01,45.31
2020-04-02,51.39
2020-04-03,7.32
2020-04-04,8.66
2020-04-05,11.1
2020-04-06,12.93
2020-04-07,16.49
2020-04-08,18.22
2020-04-09,21.56
2020-04-10,23.46
2020-04-11,26.91
2020-04-12,13.35
2020-04-13,13.84
2020-04-14,14.46
2020-04-15,16.04
2020-04-16,17.44
2020-04-17,18.61
2020-04-18,20.44
2020-04-19,19.84
2020-04-20,20.71
2020-04-21,21.32
2020-04-22,24.6
2020-04-23,26.97
2020-04-24,28.92
2020-04-25,14.59
2020-04-26,15.44
2020-04-27,13.92
2020-04-28,13.63
2020-04-29,12.08
2020-04-30,13.17
2020-05-01,14
2020-05-02,13.74
2020-05-03,13.29
2020-05-04,13.81
2020-05-05,12.47
2020-05-06,12.98
2020-05-07,13.2
2020-05-08,14.28
2020-05-09,13.46
