Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,3
2020-03-11,3
2020-03-12,6
2020-03-13,6
2020-03-14,12
2020-03-15,23
2020-03-16,28
2020-03-17,29
2020-03-18,34
2020-03-19,47
2020-03-20,64
2020-03-21,78
2020-03-22,92
2020-03-23,106
2020-03-24,122
2020-03-25,146
2020-03-26,174
2020-03-27,195
2020-03-28,227
2020-03-29,259
2020-03-30,281
2020-03-31,331
2020-04-01,395
2020-04-02,476
2020-04-03,557
2020-04-04,711
2020-04-05,819
2020-04-06,909
2020-04-07,994
2020-04-08,1107
2020-04-09,1210
2020-04-10,1353
2020-04-11,1455
2020-04-12,1537
2020-04-13,1570
2020-04-14,1722
2020-04-15,1832
2020-04-16,1865
2020-04-17,1932
2020-04-18,1903
2020-04-19,1948
2020-04-20,2021
2020-04-21,2037
2020-04-22,2143
2020-04-23,2185
2020-04-24,2271
2020-04-25,2385
2020-04-26,2417
