Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,9
2020-03-17,9
2020-03-18,9
2020-03-19,10
2020-03-20,11
2020-03-21,17
2020-03-22,22
2020-03-23,22
2020-03-24,22
2020-03-25,30
2020-03-26,32
2020-03-27,41
2020-03-28,41
2020-03-29,44
2020-03-30,47
2020-03-31,49
2020-04-01,52
2020-04-02,57
2020-04-03,60
2020-04-04,62
2020-04-05,69
2020-04-06,72
2020-04-07,74
2020-04-08,76
2020-04-09,78
2020-04-10,84
2020-04-11,86
2020-04-12,86
2020-04-13,86
2020-04-14,86
2020-04-15,78
2020-04-16,78
2020-04-17,71
2020-04-18,69
2020-04-19,69
2020-04-20,68
2020-04-21,65
2020-04-22,65
2020-04-23,55
2020-04-24,49
2020-04-25,48
2020-04-26,48
2020-04-27,49
2020-04-28,41
2020-04-29,33
2020-04-30,27
2020-05-01,18
2020-05-02,13
2020-05-03,13
2020-05-04,13
2020-05-05,10
2020-05-06,9
2020-05-07,9
2020-05-08,9
2020-05-09,10
2020-05-10,10
2020-05-11,7
2020-05-12,7
2020-05-13,5
2020-05-14,5
2020-05-15,5
2020-05-16,5
2020-05-17,5
2020-05-18,6
2020-05-19,6
2020-05-20,3
2020-05-21,3
2020-05-22,3
2020-05-23,4
2020-05-24,4
2020-05-25,4
2020-05-26,4
2020-05-27,4
2020-05-28,4
2020-05-29,4
