Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,4
2020-03-17,5
2020-03-18,6
2020-03-19,6
2020-03-20,6
2020-03-21,10
2020-03-22,10
2020-03-23,10
2020-03-24,10
2020-03-25,10
2020-03-26,11
2020-03-27,11
2020-03-28,12
2020-03-29,12
2020-03-30,10
2020-03-31,10
2020-04-01,12
2020-04-02,12
2020-04-03,12
2020-04-04,12
2020-04-05,12
2020-04-06,13
2020-04-07,11
2020-04-08,12
2020-04-09,12
2020-04-10,12
2020-04-11,12
2020-04-12,12
2020-04-13,13
2020-04-14,25
2020-04-15,25
2020-04-16,26
2020-04-17,26
2020-04-18,26
2020-04-19,25
2020-04-20,26
2020-04-21,26
2020-04-22,27
2020-04-23,27
2020-04-24,27
2020-04-25,28
2020-04-26,29
2020-04-27,28
2020-04-28,28
2020-04-29,28
2020-04-30,28
2020-05-01,28
2020-05-02,29
2020-05-03,29
2020-05-04,28
2020-05-05,28
2020-05-06,28
2020-05-07,28
2020-05-08,29
2020-05-09,28
2020-05-10,28
2020-05-11,28
2020-05-12,27
2020-05-13,27
2020-05-14,46
2020-05-15,78
2020-05-16,115
2020-05-17,115
2020-05-18,116
2020-05-19,114
2020-05-20,114
2020-05-21,114
2020-05-22,113
2020-05-23,111
2020-05-24,109
2020-05-25,108
2020-05-26,104
2020-05-27,105
2020-05-28,118
2020-05-29,136
2020-05-30,135
2020-05-31,135
2020-06-01,141
2020-06-02,141
2020-06-03,141
2020-06-04,121
2020-06-05,121
2020-06-06,122
2020-06-07,118
2020-06-08,119
2020-06-09,109
2020-06-10,107
2020-06-11,105
2020-06-12,102
2020-06-13,102
2020-06-14,99
2020-06-15,89
2020-06-16,88
2020-06-17,86
2020-06-18,74
2020-06-19,72
2020-06-20,65
2020-06-21,67
