Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,5
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,6
2020-04-04,6
2020-04-05,6
2020-04-06,6
2020-04-07,9
2020-04-08,9
2020-04-09,9
2020-04-10,9
2020-04-11,9
2020-04-12,9
2020-04-13,10
2020-04-14,10
2020-04-15,10
2020-04-16,10
2020-04-17,10
2020-04-18,9
2020-04-19,9
2020-04-20,9
2020-04-21,9
2020-04-22,9
2020-04-23,9
2020-04-24,9
2020-04-25,8
2020-04-26,8
2020-04-27,8
2020-04-28,8
2020-04-29,8
2020-04-30,8
2020-05-01,8
2020-05-02,8
2020-05-03,3
2020-05-04,3
2020-05-05,3
2020-05-06,3
2020-05-07,3
2020-05-08,2
2020-05-09,2
2020-05-10,2
2020-05-11,2
2020-05-12,2
2020-05-13,2
