Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,2
2020-03-09,2
2020-03-10,2
2020-03-11,5
2020-03-12,5
2020-03-13,5
2020-03-14,16
2020-03-15,26
2020-03-16,35
2020-03-17,41
2020-03-18,51
2020-03-19,59
2020-03-20,81
2020-03-21,90
2020-03-22,108
2020-03-23,134
2020-03-24,159
2020-03-25,212
2020-03-26,256
2020-03-27,311
2020-03-28,365
2020-03-29,440
2020-03-30,508
2020-03-31,557
2020-04-01,586
2020-04-02,633
2020-04-03,686
2020-04-04,794
2020-04-05,875
2020-04-06,959
2020-04-07,1001
2020-04-08,1085
2020-04-09,1168
2020-04-10,1219
2020-04-11,1288
2020-04-12,1366
2020-04-13,1434
2020-04-14,1545
2020-04-15,1668
2020-04-16,1904
2020-04-17,2148
2020-04-18,2234
2020-04-19,2387
2020-04-20,2553
2020-04-21,2671
2020-04-22,2880
2020-04-23,2957
2020-04-24,3114
2020-04-25,3201
2020-04-26,3311
2020-04-27,3263
2020-04-28,3309
2020-04-29,3225
2020-04-30,3269
2020-05-01,3315
2020-05-02,3300
2020-05-03,3291
2020-05-04,3221
2020-05-05,3200
2020-05-06,3208
2020-05-07,3186
2020-05-08,3201
2020-05-09,3263
2020-05-10,3321
2020-05-11,3282
2020-05-12,3239
2020-05-13,3193
2020-05-14,3107
2020-05-15,3062
2020-05-16,3062
2020-05-17,3018
2020-05-18,3002
2020-05-19,2929
2020-05-20,2841
2020-05-21,2735
2020-05-22,2758
2020-05-23,2570
2020-05-24,2531
2020-05-25,2558
2020-05-26,2494
2020-05-27,2421
2020-05-28,2246
2020-05-29,2241
2020-05-30,2175
2020-05-31,2143
2020-06-01,1735
2020-06-02,1250
2020-06-03,850
2020-06-04,600
2020-06-05,595
2020-06-06,628
2020-06-07,652
2020-06-08,686
2020-06-09,734
2020-06-10,732
2020-06-11,743
2020-06-12,780
2020-06-13,784
2020-06-14,816
2020-06-15,845
2020-06-16,782
2020-06-17,791
2020-06-18,820
2020-06-19,1283
2020-06-20,1403
2020-06-21,1479
