Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,2
2020-03-24,3
2020-03-25,3
2020-03-26,5
2020-03-27,8
2020-03-28,8
2020-03-29,10
2020-03-30,14
2020-03-31,14
2020-04-01,15
2020-04-02,19
2020-04-03,19
2020-04-04,20
2020-04-05,20
2020-04-06,21
2020-04-07,21
2020-04-08,19
2020-04-09,18
2020-04-10,22
2020-04-11,33
2020-04-12,35
2020-04-13,56
2020-04-14,57
2020-04-15,68
2020-04-16,79
2020-04-17,79
2020-04-18,88
2020-04-19,99
2020-04-20,107
2020-04-21,109
2020-04-22,111
2020-04-23,118
2020-04-24,130
2020-04-25,129
2020-04-26,131
2020-04-27,125
2020-04-28,129
2020-04-29,117
2020-04-30,117
2020-05-01,114
2020-05-02,108
2020-05-03,106
2020-05-04,106
2020-05-05,106
2020-05-06,105
2020-05-07,108
2020-05-08,104
2020-05-09,104
2020-05-10,102
2020-05-11,100
2020-05-12,98
2020-05-13,96
2020-05-14,91
2020-05-15,86
2020-05-16,80
2020-05-17,81
2020-05-18,81
2020-05-19,83
2020-05-20,85
2020-05-21,85
2020-05-22,77
