Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,1
2020-03-25,2
2020-03-26,2
2020-03-27,3
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,5
2020-04-03,5
2020-04-04,8
2020-04-05,8
2020-04-06,8
2020-04-07,8
2020-04-08,8
2020-04-09,8
2020-04-10,8
2020-04-11,8
2020-04-12,11
2020-04-13,13
2020-04-14,15
2020-04-15,15
2020-04-16,14
2020-04-17,28
2020-04-18,28
2020-04-19,27
2020-04-20,27
2020-04-21,38
2020-04-22,38
2020-04-23,39
2020-04-24,39
2020-04-25,37
2020-04-26,36
2020-04-27,36
2020-04-28,38
2020-04-29,41
2020-04-30,41
2020-05-01,43
2020-05-02,43
2020-05-03,59
2020-05-04,59
2020-05-05,66
2020-05-06,77
2020-05-07,79
2020-05-08,71
2020-05-09,78
2020-05-10,79
2020-05-11,101
2020-05-12,184
2020-05-13,208
2020-05-14,214
2020-05-15,231
2020-05-16,244
2020-05-17,257
2020-05-18,337
2020-05-19,363
2020-05-20,380
2020-05-21,405
2020-05-22,443
2020-05-23,511
2020-05-24,513
2020-05-25,566
2020-05-26,613
2020-05-27,699
2020-05-28,850
2020-05-29,1000
2020-05-30,1176
2020-05-31,1344
2020-06-01,1582
2020-06-02,1825
2020-06-03,2013
2020-06-04,2334
2020-06-05,2568
2020-06-06,2857
2020-06-07,2968
2020-06-08,3260
2020-06-09,3487
2020-06-10,3675
2020-06-11,3738
2020-06-12,4169
2020-06-13,4404
2020-06-14,4767
2020-06-15,5151
2020-06-16,5414
2020-06-17,5990
2020-06-18,6640
2020-06-19,6850
2020-06-20,7005
2020-06-21,7231
