Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,2
2020-03-23,3
2020-03-24,3
2020-03-25,7
2020-03-26,10
2020-03-27,10
2020-03-28,10
2020-03-29,18
2020-03-30,27
2020-03-31,34
2020-04-01,74
2020-04-02,98
2020-04-03,120
2020-04-04,144
2020-04-05,184
2020-04-06,253
2020-04-07,278
2020-04-08,342
2020-04-09,410
2020-04-10,438
2020-04-11,491
2020-04-12,529
2020-04-13,548
2020-04-14,570
2020-04-15,584
2020-04-16,584
2020-04-17,627
2020-04-18,639
2020-04-19,648
2020-04-20,648
2020-04-21,657
2020-04-22,662
2020-04-23,671
2020-04-24,681
2020-04-25,684
2020-04-26,696
