Date,Novel Coronavirus Daily Cases
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,1.0
2020-03-23,1.0
2020-03-24,0.0
2020-03-25,4.0
2020-03-26,3.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,8.0
2020-03-30,9.0
2020-03-31,7.0
2020-04-01,40.0
2020-04-02,24.0
2020-04-03,22.0
2020-04-04,24.0
2020-04-05,40.0
2020-04-06,69.0
2020-04-07,25.0
2020-04-08,64.0
2020-04-09,68.0
2020-04-10,28.0
2020-04-11,53.0
2020-04-12,38.0
2020-04-13,19.0
2020-04-14,22.0
2020-04-15,14.0
2020-04-16,0.0
2020-04-17,43.0
2020-04-18,12.0
2020-04-19,9.0
2020-04-20,0.0
2020-04-21,9.0
2020-04-22,5.0
2020-04-23,9.0
2020-04-24,10.0
2020-04-25,3.0
2020-04-26,12.0
2020-04-27,5.0
2020-04-28,8.0
2020-04-29,4.0
2020-04-30,6.0
2020-05-01,9.0
2020-05-02,8.0
2020-05-03,14.0
2020-05-04,5.0
2020-05-05,8.0
2020-05-06,7.0
2020-05-07,11.0
2020-05-08,14.0
2020-05-09,20.0
2020-05-10,6.0
2020-05-11,11.0
2020-05-12,22.0
2020-05-13,6.0
2020-05-14,16.0
2020-05-15,9.0
2020-05-16,4.0
2020-05-17,15.0
2020-05-18,5.0
2020-05-19,5.0
2020-05-20,6.0
2020-05-21,4.0
2020-05-22,13.0
2020-05-23,6.0
2020-05-24,2.0
2020-05-25,6.0
2020-05-26,1.0
2020-05-27,0.0
2020-05-28,3.0
2020-05-29,0.0
2020-05-30,1.0
2020-05-31,2.0
2020-06-01,0.0
2020-06-02,2.0
2020-06-03,1.0
2020-06-04,2.0
2020-06-05,3.0
2020-06-06,4.0
2020-06-07,3.0
2020-06-08,0.0
2020-06-09,1.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,4.0
2020-06-13,2.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,36.0
2020-06-17,4.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,15.0
2020-06-21,1.0
2020-06-22,10.0
2020-06-23,5.0
2020-06-24,0.0
2020-06-25,5.0
2020-06-26,3.0
2020-06-27,3.0
