Date,Total Coronavirus Cases
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,4
2020-02-28,6
2020-02-29,15
2020-03-01,19
2020-03-02,25
2020-03-03,33
2020-03-04,59
2020-03-05,94
2020-03-06,127
2020-03-07,156
2020-03-08,176
2020-03-09,227
2020-03-10,400
2020-03-11,629
2020-03-12,800
2020-03-13,996
2020-03-14,1109
2020-03-15,1256
2020-03-16,1348
2020-03-17,1471
2020-03-18,1591
2020-03-19,1790
2020-03-20,1959
2020-03-21,2164
2020-03-22,2385
2020-03-23,2625
2020-03-24,2866
2020-03-25,3084
2020-03-26,3372
2020-03-27,3771
2020-03-28,4015
2020-03-29,4284
2020-03-30,4445
2020-03-31,4641
2020-04-01,4877
2020-04-02,5147
2020-04-03,5370
2020-04-04,5550
2020-04-05,5687
2020-04-06,5865
2020-04-07,6086
2020-04-08,6042
2020-04-09,6219
2020-04-10,6314
2020-04-11,6409
2020-04-12,6525
2020-04-13,6603
2020-04-14,6623
2020-04-15,6797
2020-04-16,6905
2020-04-17,6937
2020-04-18,7036
2020-04-19,7078
2020-04-20,7156
2020-04-21,7241
2020-04-22,7338
2020-04-23,7401
2020-04-24,7463
2020-04-25,7493
2020-04-26,7527
