Date,Total Coronavirus Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,4
2020-02-28,6
2020-02-29,15
2020-03-01,19
2020-03-02,25
2020-03-03,33
2020-03-04,59
2020-03-05,94
2020-03-06,126
2020-03-07,156
2020-03-08,175
2020-03-09,226
2020-03-10,399
2020-03-11,628
2020-03-12,798
2020-03-13,994
2020-03-14,1105
2020-03-15,1252
2020-03-16,1344
2020-03-17,1467
2020-03-18,1584
2020-03-19,1782
2020-03-20,1951
2020-03-21,2151
2020-03-22,2372
2020-03-23,2609
2020-03-24,2848
2020-03-25,3064
2020-03-26,3352
2020-03-27,3745
2020-03-28,3985
2020-03-29,4251
2020-03-30,4401
2020-03-31,4589
2020-04-01,4820
2020-04-02,5065
2020-04-03,5279
2020-04-04,5456
2020-04-05,5584
2020-04-06,5757
2020-04-07,5965
2020-04-08,5909
2020-04-09,6079
2020-04-10,6169
2020-04-11,6258
2020-04-12,6365
2020-04-13,6437
2020-04-14,6452
2020-04-15,6615
2020-04-16,6721
2020-04-17,6744
2020-04-18,6840
2020-04-19,6881
2020-04-20,6943
2020-04-21,7027
2020-04-22,7119
2020-04-23,7175
2020-04-24,7232
2020-04-25,7260
2020-04-26,7294
2020-04-27,7362
2020-04-28,7422
2020-04-29,7471
2020-04-30,7496
2020-05-01,7541
2020-05-02,7566
2020-05-03,7604
2020-05-04,7658
2020-05-05,7708
2020-05-06,7748
2020-05-07,7785
2020-05-08,7820
2020-05-09,7848
